"","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)","Differential 9 - 10 Last (mV)"
"00:00:00","-60.389","12.785","-15.779"
"00:00:01","-60.279","12.767","-15.765"
"00:00:02","-60.022","12.724","-15.731"
"00:00:03","-59.814","12.692","-15.706"
"00:00:04","-59.573","12.652","-15.675"
"00:00:05","-59.339","12.611","-15.641"
"00:00:06","-59.151","12.576","-15.616"
"00:00:07","-58.932","12.539","-15.586"
"00:00:08","-58.756","12.510","-15.557"
"00:00:09","-58.552","12.487","-15.517"
"00:00:10","-58.383","12.433","-15.510"
"00:00:11","-58.191","12.402","-15.477"
"00:00:12","-58.036","12.375","-15.450"
"00:00:13","-57.856","12.355","-15.400"
"00:00:14","-57.706","12.288","-15.413"
"00:00:15","-57.538","12.263","-15.399"
"00:00:16","-57.399","12.236","-15.356"
"00:00:17","-57.235","12.206","-15.317"
"00:00:18","-57.102","12.179","-15.289"
"00:00:19","-56.947","12.149","-15.254"
"00:00:20","-56.819","12.120","-15.227"
"00:00:21","-56.671","12.086","-15.196"
"00:00:22","-56.553","12.061","-15.171"
"00:00:23","-56.412","12.029","-15.144"
"00:00:24","-56.270","11.984","-15.133"
"00:00:25","-56.164","11.963","-15.095"
"00:00:26","-56.039","11.939","-15.076"
"00:00:27","-55.935","11.900","-15.079"
"00:00:28","-55.811","11.883","-15.007"
"00:00:29","-55.714","11.855","-14.997"
"00:00:30","-55.599","11.826","-14.968"
"00:00:31","-55.506","11.801","-14.944"
"00:00:32","-55.401","11.718","-15.047"
"00:00:33","-55.326","11.843","-14.767"
"00:00:34","-55.201","11.766","-14.806"
"00:00:35","-55.106","11.687","-14.844"
"00:00:36","-55.007","11.675","-14.807"
"00:00:37","-54.924","11.654","-14.787"
"00:00:38","-54.825","11.624","-14.759"
"00:00:39","-54.745","11.608","-14.737"
"00:00:40","-54.643","11.552","-14.735"
"00:00:41","-54.566","11.551","-14.692"
"00:00:42","-54.473","11.527","-14.660"
"00:00:43","-54.396","11.502","-14.642"
"00:00:44","-54.305","11.477","-14.616"
"00:00:45","-54.215","11.451","-14.593"
