"","Differential 1 - 2 Ave. (mV)","Differential 3 - 4 Ave. (mV)","Differential 5 - 6 Ave. (mV)","Differential 7 - 8 Ave. (mV)","leerer Korb 2 Ave. (mV)","leerer Korb Ave. (mV)"
"1677676160","-4.08","-21.16","-67.56","3.05","","30.86"
"1677676220","-4.29","-20.67","-67.98","2.99","","28.82"
"1677676280","-4.42","-20.32","-68.63","3.04","","26.88"
"1677676340","-4.48","-20.13","-69.16","3.07","","25.12"
"1677676400","-4.50","-19.87","-68.23","3.10","","23.55"
"1677676460","-4.61","-19.64","-67.69","3.19","","22.11"
"1677676520","-4.60","-19.46","-67.08","3.06","","20.90"
"1677676580","-4.63","-19.34","-67.25","3.06","","19.88"
"1677676640","-4.66","-19.19","-66.33","3.02","","18.95"
"1677676700","-4.71","-19.03","-65.81","3.03","","18.16"
"1677676760","-4.67","-18.91","-65.06","2.97","","17.54"
"1677676820","-4.66","-18.92","-63.92","2.98","","16.98"
"1677676880","-4.64","-18.78","-62.89","2.85","","16.55"
"1677676940","-4.72","-18.64","-62.81","2.79","","16.18"
"1677677000","-4.72","-18.57","-62.48","2.81","","15.87"
"1677677060","-4.78","-18.50","-61.98","2.83","","15.62"
"1677677120","-4.77","-18.47","-61.37","2.80","","15.41"
"1677677180","-4.76","-18.43","-60.89","2.75","","15.24"
"1677677240","-4.87","-18.40","-60.45","2.73","","15.05"
"1677677300","-5.01","-18.34","-60.07","2.61","","14.87"
"1677677360","-4.93","-18.31","-60.39","2.61","","14.70"
"1677677420","-5.00","-18.25","-58.79","2.55","","14.58"
"1677677480","-4.98","-18.16","-58.54","2.54","","14.46"
"1677677540","-5.01","-18.16","-60.37","2.46","","14.36"
"1677677600","-4.94","-18.12","-58.65","2.32","","14.24"
"1677677660","-4.95","-17.98","-57.97","2.26","","14.13"
"1677677720","-4.94","-17.89","-57.59","2.18","","14.01"
"1677677780","-4.97","-17.79","-56.86","2.22","","13.90"
"1677677840","-4.98","-17.73","-56.52","2.18","","13.79"
"1677677900","-5.00","-17.70","-56.07","2.23","","13.64"
"1677677960","-4.97","-17.70","-55.94","2.18","","13.53"
"1677678020","-4.95","-17.67","-55.39","2.17","","13.43"
