"","Single-ended 7 Last (mV)","Single-ended 8 Last (mV)"
"1673445449","3.809","-7.230"
"1673445450","3.815","-7.223"
"1673445451","3.796","-7.232"
"1673445452","3.799","-7.239"
"1673445453","3.783","-7.257"
"1673445454","3.794","-7.255"
"1673445455","3.806","-7.257"
"1673445456","3.800","-7.264"
"1673445457","3.799","-7.271"
"1673445458","3.797","-7.278"
"1673445459","3.802","-7.319"
"1673445460","3.815","-7.346"
"1673445461","3.825","-7.354"
"1673445462","3.831","-7.365"
"1673445463","3.834","-7.356"
"1673445464","3.831","-7.357"
"1673445465","3.833","-7.363"
"1673445466","3.827","-7.367"
"1673445467","3.820","-7.420"
"1673445468","3.846","-7.400"
"1673445469","3.843","-7.417"
"1673445470","3.848","-7.418"
"1673445471","3.843","-7.404"
"1673445472","3.841","-7.385"
"1673445473","3.830","-7.358"
"1673445474","3.809","-7.361"
"1673445475","3.820","-7.319"
"1673445476","3.804","-7.301"
"1673445477","3.756","-7.294"
"1673445478","3.732","-7.330"
"1673445479","3.791","-7.235"
"1673445480","3.772","-7.226"
"1673445481","3.753","-7.209"
"1673445482","3.742","-7.193"
"1673445483","3.726","-7.169"
"1673445484","3.711","-7.149"
"1673445485","3.698","-7.129"
"1673445486","3.684","-7.117"
"1673445487","3.678","-7.114"
"1673445488","3.664","-7.104"
"1673445489","3.659","-7.105"
"1673445490","3.654","-7.100"
"1673445491","3.649","-7.099"
"1673445492","3.649","-7.113"
"1673445493","3.647","-7.141"
"1673445494","3.656","-7.170"
"1673445495","3.661","-7.191"
"1673445496","3.671","-7.210"
"1673445497","3.681","-7.225"
"1673445498","3.686","-7.238"
"1673445499","3.699","-7.240"
"1673445500","3.683","-7.257"
"1673445501","3.694","-7.259"
"1673445502","3.681","-7.273"
"1673445503","3.722","-7.244"
"1673445504","3.717","-7.273"
"1673445505","3.720","-7.300"
"1673445506","3.733","-7.334"
"1673445507","3.739","-7.370"
"1673445508","3.755","-7.399"
"1673445509","3.768","-7.420"
"1673445510","3.779","-7.444"
"1673445511","3.793","-7.462"
"1673445512","3.799","-7.475"
"1673445513","3.811","-7.502"
"1673445514","3.824","-7.531"
"1673445515","3.837","-7.559"
"1673445516","3.852","-7.584"
"1673445517","3.862","-7.604"
"1673445518","3.881","-7.632"
"1673445519","3.891","-7.647"
"1673445520","3.902","-7.666"
"1673445521","3.913","-7.681"
"1673445522","3.921","-7.699"
"1673445523","3.934","-7.714"
"1673445524","3.939","-7.725"
"1673445525","3.951","-7.739"
"1673445526","3.956","-7.743"
"1673445527","3.961","-7.751"
"1673445528","3.967","-7.756"
"1673445529","3.969","-7.763"
"1673445530","3.977","-7.771"
"1673445531","3.978","-7.772"
"1673445532","3.983","-7.784"
"1673445533","3.986","-7.790"
"1673445534","3.991","-7.801"
"1673445535","3.997","-7.813"
"1673445536","4.000","-7.825"
"1673445537","4.007","-7.807"
"1673445538","3.995","-7.746"
"1673445539","3.984","-7.721"
"1673445540","3.974","-7.714"
"1673445541","3.967","-7.724"
"1673445542","3.967","-7.735"
"1673445543","3.973","-7.735"
"1673445544","3.982","-7.751"
"1673445545","3.981","-7.756"
"1673445546","3.985","-7.762"
"1673445547","3.987","-7.758"
"1673445548","3.983","-7.746"
"1673445549","3.982","-7.734"
"1673445550","3.972","-7.709"
"1673445551","3.965","-7.693"
"1673445552","3.955","-7.668"
"1673445553","3.943","-7.647"
"1673445554","3.936","-7.630"
"1673445555","3.924","-7.630"
"1673445556","3.925","-7.660"
"1673445557","3.927","-7.680"
"1673445558","3.931","-7.696"
"1673445559","3.937","-7.699"
"1673445560","3.934","-7.687"
"1673445561","3.931","-7.676"
"1673445562","3.918","-7.646"
"1673445563","3.914","-7.599"
"1673445564","3.898","-7.552"
"1673445565","3.876","-7.514"
"1673445566","3.862","-7.491"
"1673445567","3.841","-7.470"
"1673445568","3.833","-7.487"
"1673445569","3.833","-7.516"
"1673445570","3.835","-7.550"
"1673445571","3.848","-7.584"
"1673445572","3.854","-7.606"
"1673445573","3.866","-7.632"
"1673445574","3.875","-7.646"
"1673445575","3.883","-7.663"
"1673445576","3.893","-7.675"
"1673445577","3.896","-7.686"
"1673445578","3.907","-7.703"
"1673445579","3.912","-7.714"
"1673445580","3.920","-7.731"
"1673445581","3.928","-7.739"
"1673445582","3.928","-7.750"
"1673445583","3.932","-7.761"
"1673445584","3.928","-7.763"
"1673445585","3.926","-7.776"
"1673445586","3.935","-7.762"
"1673445587","3.942","-7.706"
"1673445588","3.949","-7.657"
"1673445589","3.926","-7.622"
"1673445590","3.908","-7.608"
"1673445591","3.898","-7.577"
"1673445592","3.877","-7.565"
"1673445593","3.866","-7.546"
"1673445594","3.852","-7.531"
"1673445595","3.843","-7.536"
"1673445596","3.837","-7.523"
"1673445597","3.830","-7.522"
"1673445598","3.827","-7.524"
"1673445599","3.820","-7.536"
"1673445600","3.823","-7.556"
"1673445601","3.826","-7.566"
"1673445602","3.839","-7.581"
"1673445603","3.839","-7.605"
"1673445604","3.845","-7.626"
"1673445605","3.858","-7.653"
"1673445606","3.868","-7.667"
"1673445607","3.878","-7.691"
"1673445608","3.887","-7.714"
"1673445609","3.896","-7.737"
"1673445610","3.906","-7.790"
"1673445611","3.929","-7.828"
"1673445612","3.938","-7.903"
"1673445613","3.962","-7.945"
"1673445614","4.009","-7.971"
"1673445615","4.034","-8.050"
"1673445616","4.066","-8.142"
"1673445617","4.098","-8.225"
"1673445618","4.133","-8.286"
"1673445619","4.170","-8.328"
"1673445620","4.209","-8.382"
"1673445621","4.236","-8.448"
"1673445622","4.272","-8.523"
"1673445623","4.306","-8.578"
"1673445624","4.341","-8.629"
"1673445625","4.373","-8.662"
"1673445626","4.394","-8.687"
"1673445627","4.422","-8.716"
"1673445628","4.438","-8.733"
"1673445629","4.454","-8.749"
"1673445630","4.470","-8.764"
"1673445631","4.469","-8.786"
"1673445632","4.493","-8.789"
"1673445633","4.506","-8.789"
"1673445634","4.508","-8.773"
"1673445635","4.509","-8.761"
"1673445636","4.503","-8.755"
"1673445637","4.511","-8.749"
"1673445638","4.513","-8.751"
"1673445639","4.510","-8.762"
"1673445640","4.515","-8.760"
"1673445641","4.516","-8.752"
"1673445642","4.515","-8.756"
"1673445643","4.515","-8.759"
"1673445644","4.512","-8.759"
"1673445645","4.515","-8.759"
"1673445646","4.511","-8.746"
"1673445647","4.507","-8.744"
"1673445648","4.509","-8.739"
"1673445649","4.504","-8.737"
"1673445650","4.503","-8.744"
"1673445651","4.508","-8.738"
"1673445652","4.501","-8.746"
"1673445653","4.509","-8.747"
"1673445654","4.505","-8.752"
"1673445655","4.511","-8.759"
"1673445656","4.514","-8.761"
"1673445657","4.512","-8.767"
"1673445658","4.517","-8.772"
"1673445659","4.529","-8.760"
"1673445660","4.517","-8.781"
"1673445661","4.529","-8.768"
"1673445662","4.519","-8.771"
"1673445663","4.517","-8.768"
"1673445664","4.509","-8.751"
"1673445665","4.508","-8.737"
"1673445666","4.502","-8.731"
"1673445667","4.495","-8.723"
"1673445668","4.495","-8.719"
"1673445669","4.489","-8.707"
"1673445670","4.473","-8.710"
"1673445671","4.479","-8.683"
"1673445672","4.470","-8.658"
"1673445673","4.463","-8.645"
"1673445674","4.441","-8.653"
"1673445675","4.447","-8.630"
"1673445676","4.455","-8.618"
"1673445677","4.452","-8.609"
"1673445678","4.445","-8.610"
"1673445679","4.447","-8.605"
"1673445680","4.438","-8.600"
"1673445681","4.412","-8.625"
"1673445682","4.427","-8.591"
"1673445683","4.436","-8.567"
"1673445684","4.441","-8.552"
"1673445685","4.428","-8.547"
"1673445686","4.408","-8.563"
"1673445687","4.393","-8.554"
"1673445688","4.361","-8.573"
"1673445689","4.432","-8.505"
"1673445690","4.400","-8.518"
"1673445691","4.414","-8.489"
"1673445692","4.391","-8.502"
"1673445693","4.375","-8.492"
"1673445694","4.296","-8.563"
"1673445695","4.375","-8.496"
"1673445696","4.364","-8.483"
"1673445697","4.357","-8.475"
"1673445698","4.342","-8.484"
"1673445699","4.340","-8.493"
"1673445700","4.337","-8.489"
"1673445701","4.336","-8.496"
"1673445702","4.339","-8.494"
"1673445703","4.335","-8.493"
"1673445704","4.339","-8.492"
"1673445705","4.332","-8.485"
"1673445706","4.349","-8.454"
"1673445707","4.336","-8.446"
"1673445708","4.318","-8.447"
"1673445709","4.315","-8.428"
"1673445710","4.300","-8.411"
"1673445711","4.305","-8.394"
"1673445712","4.296","-8.377"
"1673445713","4.284","-8.371"
"1673445714","4.279","-8.348"
"1673445715","4.270","-8.338"
"1673445716","4.267","-8.332"
"1673445717","4.262","-8.321"
"1673445718","4.255","-8.324"
"1673445719","4.246","-8.326"
"1673445720","4.246","-8.323"
"1673445721","4.251","-8.314"
"1673445722","4.242","-8.285"
