"","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)","Differential 9 - 10 Last (mV)"
"1674046661","-201.03","8.00","-5.73"
"1674046662","-201.09","8.18","-5.72"
"1674046663","-201.18","8.15","-5.72"
"1674046664","-201.20","6.77","-5.75"
"1674046665","-201.19","0.49","-5.81"
"1674046666","-201.15","-0.17","-5.84"
"1674046667","-201.09","-0.18","-5.88"
"1674046668","-201.00","0.01","-5.94"
"1674046669","-200.92","-0.04","-5.97"
"1674046670","-200.81","-0.10","-6.02"
"1674046671","-200.69","-0.04","-6.09"
"1674046672","-200.55","-0.10","-6.14"
"1674046673","-200.34","-0.28","-6.20"
"1674046674","-200.10","-0.39","-6.26"
"1674046675","-199.75","-0.20","-6.31"
"1674046676","-199.49","-0.04","-6.35"
"1674046677","-199.19","-0.19","-6.36"
"1674046678","-198.93","-0.30","-6.37"
"1674046679","-198.61","-0.03","-6.34"
"1674046680","-198.33","0.17","-6.34"
"1674046681","-197.99","-0.21","-6.35"
"1674046682","-197.70","-0.05","-6.37"
"1674046683","-197.34","-0.01","-6.41"
"1674046684","-197.04","-0.17","-6.46"
"1674046685","-196.66","0.38","-6.53"
"1674046686","-196.33","0.70","-6.59"
"1674046687","-195.93","0.81","-6.67"
"1674046688","-195.60","0.39","-6.74"
"1674046689","-195.19","0.68","-6.79"
"1674046690","-194.84","0.65","-6.84"
"1674046691","-194.41","0.28","-6.91"
"1674046692","-193.98","-0.11","-6.98"
"1674046693","-193.61","0.06","-7.04"
"1674046694","-193.15","0.28","-7.09"
"1674046695","-192.77","-0.51","-7.11"
"1674046696","-192.30","6.77","-7.17"
"1674046697","-191.89","4.89","-7.23"
"1674046698","-191.40","-0.43","-7.32"
"1674046699","-190.99","-0.44","-7.38"
"1674046700","-190.49","0.37","-7.51"
"1674046701","-190.07","-0.29","-7.56"
"1674046702","-189.56","-0.04","-7.51"
"1674046703","-189.14","3.58","-7.43"
"1674046704","-188.63","0.83","-7.41"
"1674046705","-188.20","0.22","-7.43"
"1674046706","-187.68","-0.25","-7.47"
"1674046707","-187.24","-0.07","-7.51"
"1674046708","-186.70","-0.01","-7.60"
"1674046709","-186.26","-0.10","-7.64"
"1674046710","-185.72","0.10","-7.65"
"1674046711","-185.17","0.91","-7.71"
"1674046712","-184.72","2.29","-7.74"
"1674046713","-184.16","3.63","-7.79"
"1674046714","-183.71","4.50","-7.85"
"1674046715","-183.15","3.29","-7.90"
"1674046716","-182.69","0.76","-7.97"
"1674046717","-182.13","0.89","-8.05"
"1674046718","-181.67","1.60","-8.05"
"1674046719","-181.11","1.87","-8.12"
"1674046720","-180.65","0.49","-8.16"
"1674046721","-180.08","1.41","-8.21"
"1674046722","-179.60","4.64","-8.29"
"1674046723","-179.03","4.61","-8.42"
"1674046724","-178.56","3.88","-8.58"
"1674046725","-177.99","0.62","-8.75"
"1674046726","-177.50","0.21","-8.88"
"1674046727","-176.93","-0.30","-9.02"
"1674046728","-176.45","0.00","-9.06"
"1674046729","-175.86","-0.51","-9.06"
"1674046730","-175.38","-0.11","-9.07"
"1674046731","-174.79","-0.18","-9.15"
"1674046732","-174.20","-0.01","-9.24"
"1674046733","-173.71","-0.15","-9.30"
"1674046734","-173.11","-0.24","-9.36"
"1674046735","-172.62","-0.05","-9.40"
"1674046736","-172.02","-0.13","-9.47"
"1674046737","-171.53","-0.27","-9.54"
"1674046738","-170.94","-0.12","-9.65"
"1674046739","-170.44","-0.02","-9.75"
"1674046740","-169.86","-0.24","-9.89"
"1674046741","-169.37","-0.22","-10.00"
"1674046742","-168.78","-0.02","-10.13"
"1674046743","-168.30","-0.16","-10.21"
"1674046744","-167.72","-0.27","-10.29"
"1674046745","-167.24","-0.04","-10.33"
"1674046746","-166.68","-0.08","-10.37"
"1674046747","-166.21","-0.25","-10.40"
"1674046748","-165.65","-0.12","-10.45"
"1674046749","-165.19","-0.01","-10.48"
"1674046750","-164.64","-0.24","-10.57"
"1674046751","-164.10","-0.18","-10.67"
"1674046752","-163.65","0.00","-10.71"
"1674046753","-163.12","-0.20","-10.77"
"1674046754","-162.68","-0.24","-10.81"
"1674046755","-162.16","-0.04","-10.85"
"1674046756","-161.77","-0.06","-10.88"
"1674046757","-161.28","-0.24","-10.89"
"1674046758","-160.87","-0.10","-10.89"
"1674046759","-160.37","-0.04","-10.88"
"1674046760","-159.95","-0.22","-10.87"
"1674046761","-159.45","-0.16","-10.84"
"1674046762","-159.03","-0.19","-10.83"
"1674046763","-158.52","-0.29","-10.83"
"1674046764","-158.10","-0.67","-10.83"
"1674046765","-157.59","-0.01","-10.85"
"1674046766","-157.17","0.00","-10.88"
"1674046767","-156.66","-0.19","-10.91"
"1674046768","-156.24","-0.07","-10.94"
"1674046769","-155.74","-0.09","-10.97"
"1674046770","-155.24","-0.26","-11.00"
"1674046771","-154.83","-0.11","-11.04"
"1674046772","-154.34","-0.02","-11.07"
"1674046773","-153.93","-0.23","-11.08"
"1674046774","-153.44","-0.17","-11.08"
"1674046775","-153.03","0.00","-11.10"
"1674046776","-152.55","-0.18","-11.10"
"1674046777","-152.15","-0.25","-11.09"
"1674046778","-151.66","-0.02","-11.08"
"1674046779","-151.27","-0.08","-11.08"
"1674046780","-150.79","-0.27","-11.09"
"1674046781","-150.40","-0.09","-11.06"
"1674046782","-149.93","-0.04","-11.01"
"1674046783","-149.53","-0.23","-10.98"
