"","ostreatus1 Last (mV)","ostreatus2 Last (mV)","pleurotus1 Last (mV)","pleurotus2 Last (mV)"
"1674655407.304","11.16","-10.72","14.63","13.57"
"1674655407.364","11.16","-10.71","14.63","13.57"
"1674655407.424","11.16","-10.70","14.62","13.57"
"1674655407.484","11.16","-10.68","14.62","13.57"
"1674655407.544","11.15","-10.67","14.62","13.57"
"1674655407.604","11.15","-10.66","14.62","13.57"
"1674655407.664","11.15","-10.65","14.62","13.57"
"1674655407.724","11.15","-10.64","14.62","13.57"
"1674655407.784","11.15","-10.63","14.62","13.57"
"1674655407.844","11.15","-10.62","14.61","13.56"
"1674655407.904","11.15","-10.60","14.61","13.56"
"1674655407.964","11.15","-10.59","14.61","13.55"
"1674655408.024","11.15","-10.58","14.61","13.54"
"1674655408.084","11.15","-10.56","14.61","13.53"
"1674655408.144","11.14","-10.55","14.61","13.52"
"1674655408.204","11.14","-10.54","14.60","13.51"
"1674655408.264","11.14","-10.53","14.60","13.50"
"1674655408.324","11.13","-10.51","14.60","13.49"
"1674655408.384","11.13","-10.50","14.60","13.48"
"1674655408.444","11.13","-10.49","14.59","13.48"
"1674655408.504","11.13","-10.47","14.59","13.47"
"1674655408.564","11.13","-10.46","14.59","13.46"
"1674655408.624","11.12","-10.40","14.58","13.44"
"1674655408.684","11.12","-10.39","14.58","13.44"
"1674655408.744","11.12","-10.37","14.57","13.44"
"1674655408.804","11.12","-10.36","14.57","13.44"
"1674655408.864","11.12","-10.35","14.57","13.44"
"1674655408.924","11.12","-10.34","14.57","13.43"
"1674655408.984","11.12","-10.32","14.57","13.43"
"1674655409.044","11.12","-10.31","14.57","13.43"
"1674655409.104","11.12","-10.30","14.56","13.42"
"1674655409.164","11.12","-10.29","14.56","13.42"
"1674655409.224","11.12","-10.28","14.56","13.42"
"1674655409.284","11.12","-10.27","14.56","13.41"
"1674655409.344","11.12","-10.25","14.56","13.41"
"1674655409.404","11.12","-10.24","14.55","13.41"
"1674655409.464","11.12","-10.23","14.55","13.40"
"1674655409.524","11.12","-10.22","14.55","13.40"
"1674655409.584","11.12","-10.21","14.55","13.40"
"1674655409.644","11.12","-10.20","14.55","13.40"
"1674655409.704","11.12","-10.19","14.55","13.39"
"1674655409.764","11.12","-10.18","14.54","13.39"
"1674655409.824","11.12","-10.17","14.54","13.39"
"1674655409.884","11.11","-10.16","14.54","13.39"
"1674655409.944","11.11","-10.14","14.54","13.38"
"1674655410.004","11.11","-10.13","14.54","13.38"
"1674655410.064","11.11","-10.12","14.54","13.38"
"1674655410.124","11.11","-10.11","14.53","13.37"
"1674655410.184","11.11","-10.09","14.53","13.37"
"1674655410.244","11.11","-10.08","14.53","13.36"
"1674655410.304","11.11","-10.07","14.53","13.35"
"1674655410.364","11.11","-10.06","14.53","13.35"
"1674655410.424","11.11","-10.04","14.52","13.35"
"1674655410.484","11.10","-10.03","14.52","13.34"
"1674655410.544","11.10","-10.02","14.52","13.34"
"1674655410.604","11.10","-10.01","14.52","13.34"
"1674655410.664","11.10","-10.00","14.52","13.34"
"1674655410.724","11.10","-9.99","14.51","13.34"
"1674655410.784","11.10","-9.98","14.51","13.34"
"1674655410.844","11.10","-9.97","14.51","13.34"
"1674655410.904","11.10","-9.95","14.51","13.34"
"1674655410.964","11.10","-9.94","14.51","13.34"
"1674655411.024","11.10","-9.93","14.51","13.33"
"1674655411.084","11.10","-9.92","14.50","13.33"
"1674655411.144","11.10","-9.90","14.50","13.33"
"1674655411.204","11.10","-9.89","14.50","13.33"
"1674655411.264","11.10","-9.88","14.50","13.32"
"1674655411.324","11.09","-9.87","14.50","13.32"
"1674655411.384","11.09","-9.85","14.49","13.31"
"1674655411.444","11.09","-9.84","14.49","13.31"
"1674655411.504","11.09","-9.83","14.49","13.31"
"1674655411.564","11.09","-9.82","14.49","13.30"
"1674655411.624","11.09","-9.81","14.49","13.30"
"1674655411.684","11.09","-9.80","14.48","13.29"
"1674655411.744","11.09","-9.78","14.48","13.29"
"1674655411.804","11.09","-9.77","14.48","13.29"
"1674655411.864","11.09","-9.76","14.48","13.29"
"1674655411.924","11.09","-9.75","14.48","13.28"
"1674655411.984","11.08","-9.74","14.47","13.28"
"1674655412.044","11.08","-9.72","14.47","13.28"
"1674655412.104","11.08","-9.71","14.47","13.28"
"1674655412.164","11.08","-9.70","14.47","13.28"
"1674655412.224","11.08","-9.69","14.47","13.28"
"1674655412.284","11.08","-9.68","14.46","13.28"
"1674655412.344","11.08","-9.66","14.46","13.27"
"1674655412.404","11.08","-9.65","14.46","13.27"
"1674655412.464","11.07","-9.64","14.46","13.27"
"1674655412.524","11.07","-9.63","14.46","13.27"
"1674655412.584","11.07","-9.62","14.45","13.27"
"1674655412.644","11.07","-9.61","14.45","13.27"
"1674655412.704","11.07","-9.60","14.45","13.27"
"1674655412.764","11.07","-9.60","14.45","13.27"
"1674655412.824","11.07","-9.59","14.45","13.27"
"1674655412.884","11.07","-9.58","14.45","13.27"
"1674655412.944","11.07","-9.56","14.45","13.27"
"1674655413.004","11.07","-9.55","14.44","13.26"
"1674655413.064","11.06","-9.54","14.44","13.26"
"1674655413.124","11.06","-9.53","14.44","13.26"
"1674655413.184","11.06","-9.52","14.44","13.26"
"1674655413.244","11.06","-9.51","14.44","13.26"
"1674655413.304","11.06","-9.50","14.43","13.26"
"1674655413.364","11.06","-9.49","14.43","13.26"
"1674655413.424","11.06","-9.48","14.43","13.26"
"1674655413.484","11.06","-9.47","14.43","13.25"
"1674655413.544","11.06","-9.46","14.43","13.25"
"1674655413.604","11.05","-9.45","14.43","13.25"
"1674655413.664","11.05","-9.44","14.43","13.25"
"1674655413.724","11.05","-9.43","14.42","13.25"
"1674655413.784","11.05","-9.42","14.42","13.25"
"1674655413.844","11.05","-9.41","14.42","13.25"
"1674655413.904","11.05","-9.40","14.42","13.25"
"1674655413.964","11.05","-9.39","14.42","13.25"
"1674655414.024","11.05","-9.38","14.42","13.24"
"1674655414.084","11.05","-9.37","14.42","13.24"
"1674655414.144","11.05","-9.36","14.41","13.24"
"1674655414.204","11.05","-9.35","14.41","13.24"
"1674655414.264","11.04","-9.34","14.41","13.24"
"1674655414.324","11.04","-9.33","14.41","13.23"
"1674655414.384","11.04","-9.32","14.41","13.23"
"1674655414.444","11.04","-9.31","14.41","13.23"
"1674655414.504","11.04","-9.30","14.41","13.23"
"1674655414.564","11.04","-9.28","14.40","13.22"
"1674655414.624","11.04","-9.27","14.40","13.22"
"1674655414.684","11.04","-9.26","14.40","13.22"
"1674655414.744","11.04","-9.25","14.40","13.22"
"1674655414.804","11.03","-9.24","14.40","13.21"
"1674655414.864","11.03","-9.23","14.40","13.21"
"1674655414.924","11.03","-9.22","14.40","13.21"
"1674655414.984","11.03","-9.21","14.39","13.20"
"1674655415.044","11.03","-9.20","14.39","13.20"
"1674655415.104","11.03","-9.19","14.39","13.20"
"1674655415.164","11.03","-9.18","14.39","13.19"
"1674655415.224","11.03","-9.17","14.39","13.19"
"1674655415.284","11.03","-9.16","14.39","13.19"
"1674655415.344","11.02","-9.15","14.39","13.18"
"1674655415.404","11.02","-9.14","14.38","13.18"
"1674655415.464","11.02","-9.13","14.38","13.18"
"1674655415.524","11.02","-9.12","14.38","13.18"
"1674655415.584","11.02","-9.08","14.38","13.16"
"1674655415.644","11.02","-9.07","14.37","13.16"
"1674655415.704","11.02","-9.06","14.37","13.15"
"1674655415.764","11.01","-9.05","14.37","13.15"
"1674655415.824","11.01","-9.04","14.37","13.15"
"1674655415.884","11.01","-9.03","14.37","13.14"
"1674655415.944","11.01","-9.02","14.37","13.14"
"1674655416.004","11.01","-9.01","14.36","13.13"
"1674655416.064","11.01","-9.00","14.36","13.13"
"1674655416.124","11.01","-8.99","14.36","13.12"
"1674655416.184","11.01","-8.98","14.36","13.12"
"1674655416.244","11.00","-8.97","14.36","13.12"
"1674655416.304","11.00","-8.96","14.36","13.11"
"1674655416.364","11.00","-8.95","14.35","13.11"
"1674655416.424","11.00","-8.94","14.35","13.11"
"1674655416.484","11.00","-8.93","14.35","13.10"
"1674655416.544","11.00","-8.92","14.35","13.10"
"1674655416.604","11.00","-8.91","14.35","13.10"
"1674655416.664","11.00","-8.90","14.35","13.10"
"1674655416.724","11.00","-8.89","14.34","13.09"
"1674655416.784","11.00","-8.89","14.34","13.09"
"1674655416.844","10.99","-8.88","14.34","13.09"
"1674655416.904","10.99","-8.87","14.34","13.09"
"1674655416.964","10.99","-8.86","14.34","13.08"
"1674655417.024","10.99","-8.85","14.34","13.08"
"1674655417.084","10.99","-8.84","14.33","13.08"
"1674655417.144","10.99","-8.83","14.33","13.08"
"1674655417.204","10.99","-8.82","14.33","13.07"
"1674655417.264","10.99","-8.81","14.33","13.07"
"1674655417.324","10.99","-8.80","14.33","13.07"
"1674655417.384","10.98","-8.79","14.32","13.07"
"1674655417.444","10.98","-8.77","14.32","13.06"
"1674655417.504","10.98","-8.76","14.32","13.06"
"1674655417.564","10.98","-8.75","14.32","13.06"
"1674655417.624","10.98","-8.74","14.32","13.06"
"1674655417.684","10.98","-8.73","14.32","13.06"
"1674655417.744","10.98","-8.72","14.31","13.05"
"1674655417.804","10.98","-8.71","14.31","13.05"
"1674655417.864","10.98","-8.70","14.31","13.05"
"1674655417.924","10.97","-8.69","14.31","13.05"
"1674655417.984","10.97","-8.68","14.31","13.05"
"1674655418.044","10.97","-8.67","14.31","13.05"
"1674655418.104","10.97","-8.67","14.30","13.05"
"1674655418.164","10.97","-8.66","14.30","13.05"
"1674655418.224","10.97","-8.65","14.30","13.05"
"1674655418.284","10.97","-8.64","14.30","13.04"
"1674655418.344","10.97","-8.63","14.30","13.04"
"1674655418.404","10.97","-8.62","14.30","13.04"
"1674655418.464","10.97","-8.61","14.29","13.04"
"1674655418.524","10.96","-8.60","14.29","13.04"
"1674655418.584","10.96","-8.59","14.29","13.04"
"1674655418.644","10.96","-8.58","14.29","13.04"
"1674655418.704","10.96","-8.57","14.29","13.04"
"1674655418.764","10.96","-8.57","14.29","13.04"
"1674655418.824","10.96","-8.56","14.29","13.04"
"1674655418.884","10.96","-8.55","14.29","13.03"
"1674655418.944","10.96","-8.54","14.28","13.03"
"1674655419.004","10.95","-8.53","14.28","13.03"
"1674655419.064","10.95","-8.52","14.28","13.03"
"1674655419.124","10.95","-8.51","14.28","13.02"
"1674655419.184","10.95","-8.50","14.28","13.02"
"1674655419.244","10.95","-8.49","14.28","13.02"
"1674655419.304","10.95","-8.48","14.27","13.01"
"1674655419.364","10.95","-8.47","14.27","13.01"
"1674655419.424","10.94","-8.47","14.27","13.01"
"1674655419.484","10.94","-8.46","14.27","13.01"
"1674655419.544","10.94","-8.45","14.27","13.01"
"1674655419.604","10.94","-8.44","14.27","13.01"
"1674655419.664","10.94","-8.43","14.27","13.01"
"1674655419.724","10.94","-8.43","14.27","13.00"
"1674655419.784","10.94","-8.42","14.27","13.00"
"1674655419.844","10.94","-8.41","14.26","13.00"
"1674655419.904","10.94","-8.40","14.26","13.00"
"1674655419.964","10.94","-8.40","14.26","13.00"
