"","Differential 1 - 2 Last (mV)","Differential 3 - 4 Last (mV)","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)"
"1674650388","2.15","-8.23","15.48","3.92"
"1674650389","2.16","-8.22","15.47","3.93"
"1674650390","2.18","-8.22","15.46","3.96"
"1674650391","2.20","-8.21","15.44","3.94"
"1674650392","2.22","-8.21","15.43","3.88"
"1674650393","2.23","-8.20","15.43","3.86"
"1674650394","2.25","-8.19","15.42","3.88"
"1674650395","2.27","-8.20","15.40","3.91"
"1674650396","2.29","-8.21","15.39","3.88"
"1674650397","2.30","-8.20","15.38","3.82"
"1674650398","2.33","-8.20","15.37","3.82"
"1674650399","2.34","-8.20","15.36","3.86"
"1674650400","2.36","-8.21","15.34","3.85"
"1674650401","2.37","-8.21","15.33","3.80"
"1674650402","2.38","-8.21","15.32","3.76"
"1674650403","2.40","-8.21","15.31","3.78"
"1674650404","2.42","-8.22","15.29","3.82"
"1674650405","2.43","-8.22","15.27","3.79"
"1674650406","2.45","-8.22","15.26","3.74"
"1674650407","2.46","-8.23","15.25","3.73"
"1674650408","2.48","-8.23","15.24","3.76"
"1674650409","2.49","-8.24","15.22","3.77"
"1674650410","2.50","-8.24","15.20","3.72"
"1674650411","2.52","-8.25","15.19","3.66"
"1674650412","2.54","-8.26","15.18","3.69"
"1674650413","2.56","-8.26","15.16","3.71"
"1674650414","2.59","-8.28","15.14","3.68"
"1674650415","2.61","-8.28","15.13","3.62"
"1674650416","2.64","-8.31","15.12","3.61"
"1674650417","2.66","-8.33","15.10","3.64"
"1674650418","2.68","-8.35","15.07","3.64"
"1674650419","2.70","-8.35","15.06","3.58"
"1674650420","2.71","-8.36","15.05","3.55"
"1674650421","2.73","-8.37","15.04","3.57"
"1674650422","2.74","-8.38","15.02","3.60"
"1674650423","2.76","-8.40","15.00","3.56"
"1674650424","2.78","-8.42","14.99","3.50"
"1674650425","2.79","-8.43","14.97","3.51"
"1674650426","2.81","-8.44","14.95","3.54"
"1674650427","2.80","-8.45","14.93","3.53"
"1674650428","2.82","-8.46","14.91","3.47"
"1674650429","2.83","-8.47","14.90","3.43"
"1674650430","2.84","-8.48","14.90","3.45"
"1674650431","2.86","-8.50","14.87","3.48"
"1674650432","2.87","-8.51","14.85","3.44"
"1674650433","2.88","-8.52","14.84","3.36"
"1674650434","2.86","-8.47","14.57","3.53"
"1674650435","3.06","-8.65","14.30","3.30"
"1674650436","2.88","-9.40","13.52","3.30"
"1674650437","2.70","-8.79","12.59","2.16"
"1674650438","2.61","-8.69","12.30","-0.06"
"1674650439","2.38","-7.70","11.84","-1.04"
"1674650440","2.49","-8.13","11.75","-2.44"
"1674650441","2.07","-7.14","11.43","-3.34"
"1674650442","1.87","-7.27","11.45","-4.29"
"1674650443","1.55","-7.19","11.13","-4.35"
"1674650444","1.42","-7.15","10.95","-4.08"
"1674650445","0.91","-7.07","11.20","-4.14"
"1674650446","0.82","-7.13","11.35","-3.95"
"1674650447","0.83","-7.39","11.16","-3.70"
"1674650448","0.88","-7.39","11.02","-3.28"
"1674650449","0.73","-7.57","10.88","-3.22"
"1674650450","0.58","-8.07","11.16","-2.95"
"1674650451","0.70","-8.25","11.23","-2.88"
"1674650452","0.66","-8.36","11.27","-2.56"
"1674650453","0.68","-8.63","11.28","-2.25"
"1674650454","0.80","-8.56","11.02","-2.02"
"1674650455","0.88","-8.72","11.29","-2.09"
"1674650456","0.76","-8.59","11.35","-2.04"
"1674650457","0.85","-8.71","11.31","-1.81"
"1674650458","0.92","-8.76","11.44","-1.75"
"1674650459","0.92","-8.65","11.41","-1.70"
"1674650460","1.07","-8.76","11.51","-1.52"
"1674650461","1.11","-8.58","11.38","-1.54"
"1674650462","1.00","-8.59","11.37","-1.42"
"1674650463","1.16","-8.84","11.64","-1.21"
"1674650464","1.26","-9.05","11.68","-1.25"
