"","Differential 5 - 6 Last (µV)","Differential 7 - 8 Last (µV)","Differential 9 - 10 Last (µV)"
"00:00:00","-201033,145","8003,281","-5732,041"
"00:00:01","-201087,400","8179,666","-5720,026"
"00:00:02","-201178,014","8149,108","-5716,220"
"00:00:03","-201203,763","6770,578","-5747,059"
"00:00:04","-201191,634","488,141","-5805,304"
"00:00:05","-201148,778","-173,055","-5836,030"
"00:00:06","-201089,546","-178,354","-5881,738"
"00:00:07","-201004,833","11,212","-5937,446"
"00:00:08","-200919,479","-43,432","-5972,315"
"00:00:09","-200805,843","-100,221","-6016,922"
"00:00:10","-200686,723","-44,719","-6088,935"
"00:00:11","-200545,982","-104,512","-6139,213"
"00:00:12","-200338,975","-284,564","-6198,988"
"00:00:13","-200100,765","-391,278","-6257,662"
"00:00:14","-199751,750","-202,327","-6314,022"
"00:00:15","-199490,443","-40,055","-6346,466"
"00:00:16","-199186,742","-193,148","-6361,951"
"00:00:17","-198926,240","-295,590","-6365,943"
"00:00:18","-198608,771","-25,951","-6344,059"
"00:00:19","-198334,709","173,671","-6344,264"
"00:00:20","-197994,307","-209,939","-6349,936"
"00:00:21","-197704,092","-51,379","-6368,089"
"00:00:22","-197344,735","-7,780","-6414,300"
"00:00:23","-197040,126","-171,861","-6459,858"
"00:00:24","-196658,835","384,431","-6528,905"
"00:00:25","-196330,592","702,371","-6592,784"
"00:00:26","-195929,900","807,648","-6671,010"
"00:00:27","-195595,875","392,938","-6735,150"
"00:00:28","-195189,491","675,412","-6785,970"
"00:00:29","-194840,387","646,980","-6838,898"
"00:00:30","-194414,392","279,918","-6908,299"
"00:00:31","-193976,492","-111,714","-6979,901"
"00:00:32","-193606,541","60,726","-7042,736"
"00:00:33","-193153,694","278,706","-7093,257"
"00:00:34","-192774,713","-513,122","-7109,861"
"00:00:35","-192299,917","6766,269","-7170,625"
"00:00:36","-191892,728","4892,528","-7227,358"
"00:00:37","-191398,233","-427,881","-7323,102"
"00:00:38","-190990,582","-444,672","-7381,179"
"00:00:39","-190490,693","367,939","-7509,758"
"00:00:40","-190071,642","-287,008","-7555,503"
"00:00:41","-189564,958","-40,633","-7510,392"
"00:00:42","-189142,600","3581,441","-7426,980"
"00:00:43","-188633,367","832,647","-7410,133"
"00:00:44","-188201,338","224,603","-7426,066"
"00:00:45","-187681,913","-253,912","-7467,725"
"00:00:46","-187238,306","-66,211","-7512,761"
"00:00:47","-186704,531","-8,619","-7600,371"
"00:00:48","-186259,598","-101,341","-7639,251"
"00:00:49","-185720,056","98,318","-7654,530"
"00:00:50","-185172,886","913,186","-7705,499"
"00:00:51","-184716,031","2285,615","-7736,693"
"00:00:52","-184163,705","3634,332","-7793,650"
"00:00:53","-183705,166","4501,605","-7847,007"
"00:00:54","-183150,887","3294,527","-7900,531"
"00:00:55","-182686,135","764,459","-7973,609"
"00:00:56","-182130,590","886,937","-8046,778"
"00:00:57","-181670,099","1599,382","-8054,856"
"00:00:58","-181108,460","1868,946","-8116,590"
"00:00:59","-180645,689","490,174","-8155,488"
"00:01:00","-180078,402","1406,476","-8208,491"
"00:01:01","-179599,017","4643,187","-8288,470"
"00:01:02","-179034,740","4608,449","-8418,784"
"00:01:03","-178555,086","3878,169","-8583,967"
"00:01:04","-177985,460","623,175","-8747,377"
"00:01:05","-177502,602","205,349","-8878,381"
"00:01:06","-176927,328","-295,142","-9021,586"
"00:01:07","-176447,272","-0,336","-9059,047"
"00:01:08","-175864,339","-510,678","-9057,462"
"00:01:09","-175377,816","-111,695","-9067,369"
"00:01:10","-174789,578","-184,622","-9148,542"
"00:01:11","-174199,641","-11,604","-9239,789"
"00:01:12","-173705,444","-153,224","-9302,568"
"00:01:13","-173110,411","-241,636","-9357,921"
"00:01:14","-172615,975","-50,335","-9402,416"
"00:01:15","-172021,121","-130,295","-9466,090"
"00:01:16","-171528,399","-273,594","-9537,618"
"00:01:17","-170936,495","-119,157","-9651,682"
"00:01:18","-170444,772","-15,391","-9746,418"
"00:01:19","-169856,220","-242,681","-9894,848"
"00:01:20","-169367,030","-221,711","-10004,155"
"00:01:21","-168781,847","-18,787","-10125,663"
"00:01:22","-168297,186","-161,880","-10210,549"
"00:01:23","-167720,333","-266,318","-10287,152"
"00:01:24","-167243,391","-44,719","-10326,703"
"00:01:25","-166678,280","-77,666","-10365,042"
"00:01:26","-166210,994","-254,677","-10403,436"
"00:01:27","-165654,138","-123,019","-10454,629"
"00:01:28","-165191,442","-9,944","-10475,691"
"00:01:29","-164643,750","-235,684","-10571,436"
"00:01:30","-164101,064","-177,290","-10666,583"
"00:01:31","-163654,640","-2,257","-10707,384"
"00:01:32","-163121,924","-201,973","-10766,449"
"00:01:33","-162681,177","-235,498","-10813,892"
"00:01:34","-162156,358","-39,178","-10854,955"
"00:01:35","-161774,367","-57,853","-10876,914"
"00:01:36","-161282,524","-238,893","-10886,465"
"00:01:37","-160867,333","-96,695","-10886,185"
"00:01:38","-160365,403","-37,107","-10878,238"
"00:01:39","-159950,152","-222,868","-10866,950"
"00:01:40","-159445,226","-162,627","-10837,250"
"00:01:41","-159026,742","-188,727","-10825,142"
"00:01:42","-158521,473","-289,620","-10831,709"
"00:01:43","-158101,737","-673,099","-10828,351"
"00:01:44","-157593,966","-8,824","-10853,593"
"00:01:45","-157169,446","-2,687","-10879,843"
"00:01:46","-156662,270","-190,798","-10907,080"
"00:01:47","-156241,044","-70,483","-10935,774"
"00:01:48","-155739,233","-86,267","-10969,933"
