"","Single-ended 5 Last (µV)","Single-ended 5 Ave. (µV)"
"00:00:00","-10,255388","-10,255388"
"00:00:01","21,484775","21,484775"
"00:00:02","-142,507444","-142,507444"
"00:00:03","119,975615","119,975615"
"00:00:04","167,474442","167,474442"
"00:00:05","191,186176","191,186176"
"00:00:06","207,859062","207,859062"
"00:00:07","228,353238","228,353238"
"00:00:08","252,194150","252,194150"
"00:00:09","271,458266","271,458266"
"00:00:10","287,715404","287,715404"
"00:00:11","303,920388","303,920388"
"00:00:12","320,927356","320,927356"
"00:00:13","334,005454","334,005454"
"00:00:14","346,292858","346,292858"
"00:00:15","354,275136","354,275136"
"00:00:16","369,303540","369,303540"
"00:00:17","369,389891","369,389891"
"00:00:18","384,561776","384,561776"
"00:00:19","397,634227","397,634227"
"00:00:20","421,660428","421,660428"
"00:00:21","436,801405","436,801405"
"00:00:22","414,938724","414,938724"
"00:00:23","431,085937","431,085937"
"00:00:24","441,331038","441,331038"
"00:00:25","448,621926","448,621926"
"00:00:26","458,549854","458,549854"
"00:00:27","464,047829","464,047829"
"00:00:28","471,067062","471,067062"
"00:00:29","476,137968","476,137968"
"00:00:30","476,963876","476,963876"
"00:00:31","485,162338","485,162338"
"00:00:32","496,457447","496,457447"
"00:00:33","499,419344","499,419344"
"00:00:34","510,542770","510,542770"
"00:00:35","512,782368","512,782368"
"00:00:36","512,176601","512,176601"
"00:00:37","519,654830","519,654830"
"00:00:38","528,002682","528,002682"
"00:00:39","525,418785","525,418785"
"00:00:40","531,482627","531,482627"
"00:00:41","469,553779","469,553779"
"00:00:42","541,110698","541,110698"
"00:00:43","510,844286","510,844286"
"00:00:44","554,103754","554,103754"
"00:00:45","548,157841","548,157841"
"00:00:46","560,172601","560,172601"
"00:00:47","570,693286","570,693286"
"00:00:48","539,114873","539,114873"
"00:00:49","555,238163","555,238163"
"00:00:50","555,689447","555,689447"
"00:00:51","560,574059","560,574059"
"00:00:52","564,172515","564,172515"
"00:00:53","568,437797","568,437797"
"00:00:54","568,471674","568,471674"
"00:00:55","573,611294","573,611294"
"00:00:56","577,476749","577,476749"
"00:00:57","581,024389","581,024389"
"00:00:58","581,750355","581,750355"
"00:00:59","581,266475","581,266475"
"00:01:00","584,829424","584,829424"
"00:01:01","587,448536","587,448536"
"00:01:02","587,902206","587,902206"
"00:01:03","588,746974","588,746974"
"00:01:04","590,625568","590,625568"
"00:01:05","591,908116","591,908116"
"00:01:06","593,379198","593,379198"
"00:01:07","596,828235","596,828235"
"00:01:08","597,359263","597,359263"
"00:01:09","599,732623","599,732623"
"00:01:10","599,878083","599,878083"
"00:01:11","602,658954","602,658954"
"00:01:12","604,044413","604,044413"
"00:01:13","605,606183","605,606183"
"00:01:14","602,825021","602,825021"
"00:01:15","600,409112","600,409112"
"00:01:16","604,193192","604,193192"
"00:01:17","605,225971","605,225971"
"00:01:18","608,328613","608,328613"
"00:01:19","608,520873","608,520873"
"00:01:20","605,424866","605,424866"
"00:01:21","607,193215","607,193215"
"00:01:22","611,155934","611,155934"
"00:01:23","616,425765","616,425765"
"00:01:24","614,203804","614,203804"
"00:01:25","608,044327","608,044327"
"00:01:26","607,060036","607,060036"
"00:01:27","610,087649","610,087649"
"00:01:28","615,836005","615,836005"
"00:01:29","605,124340","605,124340"
"00:01:30","605,750654","605,750654"
"00:01:31","619,175087","619,175087"
"00:01:32","623,909582","623,909582"
"00:01:33","616,770820","616,770820"
"00:01:34","620,699720","620,699720"
"00:01:35","627,903559","627,903559"
"00:01:36","648,810528","648,810528"
"00:01:37","623,475935","623,475935"
"00:01:38","617,333397","617,333397"
"00:01:39","620,241393","620,241393"
"00:01:40","617,914193","617,914193"
"00:01:41","633,309886","633,309886"
"00:01:42","616,284669","616,284669"
"00:01:43","614,925462","614,925462"
"00:01:44","620,260020","620,260020"
"00:01:45","626,561639","626,561639"
"00:01:46","627,398142","627,398142"
"00:01:47","627,449946","627,449946"
"00:01:48","627,999892","627,999892"
"00:01:49","632,623793","632,623793"
"00:01:50","624,445267","624,445267"
"00:01:51","624,972628","624,972628"
"00:01:52","650,769507","650,769507"
"00:01:53","635,692559","635,692559"
"00:01:54","635,381439","635,381439"
"00:01:55","642,227649","642,227649"
"00:01:56","637,648220","637,648220"
"00:01:57","637,852761","637,852761"
"00:01:58","641,361228","641,361228"
"00:01:59","634,351280","634,351280"
"00:02:00","632,942596","632,942596"
"00:02:01","636,081444","636,081444"
"00:02:02","635,085511","635,085511"
"00:02:03","636,512181","636,512181"
"00:02:04","640,287588","640,287588"
"00:02:05","639,429200","639,429200"
"00:02:06","634,378870","634,378870"
"00:02:07","656,871533","656,871533"
"00:02:08","643,553620","643,553620"
"00:02:09","645,920401","645,920401"
"00:02:10","642,145285","642,145285"
"00:02:11","635,368808","635,368808"
"00:02:12","634,524331","634,524331"
"00:02:13","640,513434","640,513434"
"00:02:14","647,087698","647,087698"
"00:02:15","653,625699","653,625699"
"00:02:16","619,888422","619,888422"
"00:02:17","615,332217","615,332217"
"00:02:18","638,465164","638,465164"
"00:02:19","628,723472","628,723472"
"00:02:20","677,153119","677,153119"
"00:02:21","659,132667","659,132667"
"00:02:22","642,838364","642,838364"
"00:02:23","635,744364","635,744364"
"00:02:24","641,404069","641,404069"
"00:02:25","631,511677","631,511677"
"00:02:26","653,520809","653,520809"
"00:02:27","648,132758","648,132758"
"00:02:28","665,625208","665,625208"
"00:02:29","655,784621","655,784621"
"00:02:30","572,072749","572,072749"
