"","Differential 5 - 6 Last (µV)","Differential 5 - 6 Ave. (µV)","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)"
"00:00:00","182,155345","182,155345","-37,839531","-37,839531"
"00:00:01","179,332143","179,332143","-31,000614","-31,000614"
"00:00:02","177,770024","177,770024","-52,326322","-52,326322"
"00:00:03","176,561240","176,561240","-33,762215","-33,762215"
"00:00:04","168,192739","168,192739","-32,990454","-32,990454"
"00:00:05","170,382496","170,382496","-47,816633","-47,816633"
"00:00:06","171,767955","171,767955","-36,509871","-36,509871"
"00:00:07","173,613662","173,613662","-37,472248","-37,472248"
"00:00:08","170,210478","170,210478","-24,440646","-24,440646"
"00:00:09","165,472986","165,472986","-40,345429","-40,345429"
"00:00:10","159,926538","159,926538","-48,100232","-48,100232"
"00:00:11","169,708364","169,708364","-22,199751","-22,199751"
"00:00:12","168,071871","168,071871","-35,659075","-35,659075"
"00:00:13","161,470060","161,470060","-63,289044","-63,289044"
"00:00:14","159,126881","159,126881","-46,658992","-46,658992"
"00:00:15","163,171644","163,171644","-38,011553","-38,011553"
"00:00:16","160,865660","160,865660","-41,921496","-41,921496"
"00:00:17","158,229595","158,229595","-43,962478","-43,962478"
"00:00:18","159,150120","159,150120","-57,063819","-57,063819"
"00:00:19","159,298899","159,298899","-54,748536","-54,748536"
"00:00:20","153,259636","153,259636","-38,671733","-38,671733"
"00:00:21","150,014515","150,014515","-61,624647","-61,624647"
"00:00:22","151,023385","151,023385","-53,911685","-53,911685"
"00:00:23","143,761397","143,761397","-77,445744","-77,445744"
"00:00:24","143,691665","143,691665","-41,916846","-41,916846"
"00:00:25","140,683653","140,683653","-51,526666","-51,526666"
"00:00:26","144,988779","144,988779","-47,979356","-47,979356"
"00:00:27","146,425373","146,425373","-43,748616","-43,748616"
"00:00:28","145,142199","145,142199","-40,164112","-40,164112"
"00:00:29","146,941427","146,941427","-45,882582","-45,882582"
"00:00:30","146,481150","146,481150","-49,467086","-49,467086"
"00:00:31","149,610045","149,610045","-42,735101","-42,735101"
"00:00:32","146,908875","146,908875","-41,242718","-41,242718"
"00:00:33","144,602891","144,602891","-47,244786","-47,244786"
"00:00:34","144,533158","144,533158","-49,016118","-49,016118"
"00:00:35","144,268153","144,268153","-42,428255","-42,428255"
"00:00:36","144,356483","144,356483","-44,036864","-44,036864"
"00:00:37","146,704318","146,704318","-48,937083","-48,937083"
"00:00:38","148,615116","148,615116","-47,254085","-47,254085"
"00:00:39","147,452825","147,452825","-41,689040","-41,689040"
"00:00:40","148,782492","148,782492","-43,409229","-43,409229"
"00:00:41","148,480292","148,480292","-49,527527","-49,527527"
"00:00:42","146,964667","146,964667","-42,405009","-42,405009"
"00:00:43","141,748314","141,748314","-51,173331","-51,173331"
"00:00:44","142,780424","142,780424","-47,082067","-47,082067"
"00:00:45","147,090192","147,090192","-48,346639","-48,346639"
"00:00:46","148,405903","148,405903","-70,732356","-70,732356"
"00:00:47","140,028118","140,028118","-44,204236","-44,204236"
"00:00:48","138,535732","138,535732","-39,834023","-39,834023"
"00:00:49","135,611408","135,611408","-66,822409","-66,822409"
"00:00:50","145,435100","145,435100","-49,615861","-49,615861"
"00:00:51","145,988350","145,988350","-49,704195","-49,704195"
"00:00:52","135,327820","135,327820","-51,052451","-51,052451"
"00:00:53","141,023047","141,023047","-48,667433","-48,667433"
"00:00:54","139,251715","139,251715","-31,326057","-31,326057"
"00:00:55","141,339187","141,339187","-26,900054","-26,900054"
"00:00:56","66,599248","66,599248","-100,891470","-100,891470"
"00:00:57","-33,176420","-33,176420","-118,079421","-118,079421"
"00:00:58","-25,891184","-25,891184","-50,141214","-50,141214"
"00:00:59","-24,719597","-24,719597","-109,915498","-109,915498"
"00:01:00","134,969829","134,969829","-87,418201","-87,418201"
"00:01:01","339,858409","339,858409","881,058106","881,058106"
"00:01:02","535,741565","535,741565","425,988779","425,988779"
"00:01:03","-214,972621","-214,972621","-668,419350","-668,419350"
"00:01:04","-190,620296","-190,620296","-200,648545","-200,648545"
"00:01:05","-170,001265","-170,001265","-160,340307","-160,340307"
"00:01:06","-150,070307","-150,070307","-113,095521","-113,095521"
"00:01:07","-128,930566","-128,930566","-143,942714","-143,942714"
"00:01:08","-117,916701","-117,916701","-146,760111","-146,760111"
"00:01:09","-113,611582","-113,611582","-153,478148","-153,478148"
"00:01:10","-104,620100","-104,620100","-171,661013","-171,661013"
"00:01:11","-84,010360","-84,010360","-168,755287","-168,755287"
"00:01:12","-63,977124","-63,977124","-164,106124","-164,106124"
"00:01:13","-39,601564","-39,601564","-144,584294","-144,584294"
"00:01:14","-21,539568","-21,539568","-145,853526","-145,853526"
"00:01:15","5,095482","5,095482","-140,065313","-140,065313"
"00:01:16","26,132941","26,132941","-126,731509","-126,731509"
"00:01:17","38,155675","38,155675","-115,206240","-115,206240"
"00:01:18","49,574017","49,574017","-114,401933","-114,401933"
"00:01:19","61,508414","61,508414","-113,648770","-113,648770"
"00:01:20","79,184530","79,184530","-96,391079","-96,391079"
