"","Differential 5 - 6 Last (µV)","Differential 5 - 6 Ave. (µV)"
"00:00:00","77,930032","77,930032"
"00:00:01","82,617938","82,617938"
"00:00:02","89,104680","89,104680"
"00:00:03","90,700123","90,700123"
"00:00:04","93,949202","93,949202"
"00:00:05","89,652123","89,652123"
"00:00:06","89,420049","89,420049"
"00:00:07","93,649236","93,649236"
"00:00:08","100,128622","100,128622"
"00:00:09","94,619361","94,619361"
"00:00:10","91,321170","91,321170"
"00:00:11","94,509720","94,509720"
"00:00:12","97,128359","97,128359"
"00:00:13","99,826037","99,826037"
"00:00:14","94,605413","94,605413"
"00:00:15","93,938652","93,938652"
"00:00:16","96,308948","96,308948"
"00:00:17","93,135503","93,135503"
"00:00:18","95,440715","95,440715"
"00:00:19","97,443342","97,443342"
"00:00:20","95,128446","95,128446"
"00:00:21","97,662240","97,662240"
"00:00:22","103,750317","103,750317"
"00:00:23","107,085703","107,085703"
"00:00:24","101,850746","101,850746"
"00:00:25","97,178337","97,178337"
"00:00:26","92,956514","92,956514"
"00:00:27","97,959790","97,959790"
"00:00:28","106,836975","106,836975"
"00:00:29","100,418809","100,418809"
"00:00:30","98,558754","98,558754"
"00:00:31","102,713944","102,713944"
"00:00:32","110,651614","110,651614"
"00:00:33","115,771116","115,771116"
"00:00:34","118,009302","118,009302"
"00:00:35","118,964701","118,964701"
"00:00:36","113,230737","113,230737"
"00:00:37","108,498272","108,498272"
"00:00:38","128,270782","128,270782"
"00:00:39","120,227334","120,227334"
"00:00:40","114,704133","114,704133"
"00:00:41","112,982780","112,982780"
"00:00:42","115,321694","115,321694"
"00:00:43","116,705982","116,705982"
"00:00:44","115,468531","115,468531"
"00:00:45","114,238057","114,238057"
"00:00:46","116,167845","116,167845"
"00:00:47","120,230827","120,230827"
"00:00:48","112,238529","112,238529"
"00:00:49","113,438400","113,438400"
"00:00:50","115,225615","115,225615"
"00:00:51","119,476106","119,476106"
"00:00:52","112,119582","112,119582"
"00:00:53","111,243608","111,243608"
"00:00:54","108,779161","108,779161"
"00:00:55","110,175461","110,175461"
"00:00:56","120,338918","120,338918"
"00:00:57","129,653126","129,653126"
"00:00:58","127,611755","127,611755"
"00:00:59","122,705344","122,705344"
"00:01:00","121,180805","121,180805"
"00:01:01","120,297074","120,297074"
"00:01:02","124,102022","124,102022"
"00:01:03","124,312020","124,312020"
"00:01:04","125,971768","125,971768"
"00:01:05","127,760140","127,760140"
"00:01:06","131,773530","131,773530"
"00:01:07","133,089241","133,089241"
"00:01:08","135,044989","135,044989"
"00:01:09","139,150594","139,150594"
"00:01:10","138,629111","138,629111"
"00:01:11","145,635015","145,635015"
"00:01:12","140,839402","140,839402"
"00:01:13","142,543708","142,543708"
"00:01:14","142,213219","142,213219"
"00:01:15","136,864357","136,864357"
"00:01:16","132,747911","132,747911"
"00:01:17","136,925184","136,925184"
"00:01:18","141,734752","141,734752"
"00:01:19","142,223304","142,223304"
"00:01:20","139,448530","139,448530"
"00:01:21","134,205038","134,205038"
"00:01:22","132,050933","132,050933"
"00:01:23","136,194110","136,194110"
"00:01:24","138,649644","138,649644"
"00:01:25","138,662421","138,662421"
"00:01:26","134,833448","134,833448"
"00:01:27","132,888948","132,888948"
"00:01:28","134,179092","134,179092"
"00:01:29","140,233067","140,233067"
"00:01:30","143,394107","143,394107"
"00:01:31","134,751317","134,751317"
"00:01:32","129,972759","129,972759"
"00:01:33","130,470216","130,470216"
"00:01:34","137,209558","137,209558"
"00:01:35","143,202720","143,202720"
"00:01:36","144,917489","144,917489"
"00:01:37","141,600700","141,600700"
"00:01:38","142,201214","142,201214"
"00:01:39","141,183045","141,183045"
"00:01:40","139,651922","139,651922"
"00:01:41","138,936724","138,936724"
"00:01:42","137,621013","137,621013"
"00:01:43","138,331176","138,331176"
"00:01:44","143,862897","143,862897"
