"","Single-ended 5 Last (µV)","Single-ended 5 Ave. (µV)"
"00:00:00","183,704338","183,704338"
"00:00:01","157,675007","157,675007"
"00:00:02","147,147308","147,147308"
"00:00:03","126,263272","126,263272"
"00:00:04","96,060990","96,060990"
"00:00:05","102,674756","102,674756"
"00:00:06","98,460623","98,460623"
"00:00:07","78,881007","78,881007"
"00:00:08","59,834056","59,834056"
"00:00:09","68,746500","68,746500"
"00:00:10","30,922241","30,922241"
"00:00:11","3,385918","3,385918"
"00:00:12","3,498827","3,498827"
"00:00:13","1,662408","1,662408"
"00:00:14","-12,185455","-12,185455"
"00:00:15","-25,979520","-25,979520"
"00:00:16","-48,901216","-48,901216"
"00:00:17","-33,161145","-33,161145"
"00:00:18","-45,373166","-45,373166"
"00:00:19","-50,767525","-50,767525"
"00:00:20","-70,104055","-70,104055"
"00:00:21","-89,686990","-89,686990"
"00:00:22","-89,723522","-89,723522"
"00:00:23","-109,687688","-109,687688"
"00:00:24","-24,646537","-24,646537"
"00:00:25","-128,910644","-128,910644"
"00:00:26","-128,140207","-128,140207"
"00:00:27","-163,461227","-163,461227"
"00:00:28","-173,903914","-173,903914"
"00:00:29","-158,168492","-158,168492"
"00:00:30","-158,648021","-158,648021"
"00:00:31","-173,331398","-173,331398"
"00:00:32","-183,060096","-183,060096"
"00:00:33","-177,879600","-177,879600"
"00:00:34","-195,639412","-195,639412"
"00:00:35","-207,155375","-207,155375"
"00:00:36","-208,952610","-208,952610"
"00:00:37","-205,693548","-205,693548"
"00:00:38","-231,230078","-231,230078"
"00:00:39","-214,918153","-214,918153"
"00:00:40","-219,039299","-219,039299"
"00:00:41","-218,339279","-218,339279"
"00:00:42","-228,048710","-228,048710"
"00:00:43","-239,305009","-239,305009"
"00:00:44","-258,893910","-258,893910"
"00:00:45","-249,000499","-249,000499"
"00:00:46","-249,244244","-249,244244"
"00:00:47","-259,597262","-259,597262"
"00:00:48","-274,540333","-274,540333"
"00:00:49","-261,217821","-261,217821"
"00:00:50","-285,517017","-285,517017"
"00:00:51","-287,615112","-287,615112"
"00:00:52","-304,720044","-304,720044"
"00:00:53","-298,043189","-298,043189"
"00:00:54","-314,928940","-314,928940"
"00:00:55","-301,688793","-301,688793"
"00:00:56","-311,258773","-311,258773"
"00:00:57","-311,930227","-311,930227"
"00:00:58","-319,513027","-319,513027"
"00:00:59","-364,311010","-364,311010"
"00:01:00","-313,209428","-313,209428"
"00:01:01","-322,926149","-322,926149"
"00:01:02","-324,095774","-324,095774"
"00:01:03","-339,342369","-339,342369"
