"","Differential 5 - 6 Last (V)","Differential 5 - 6 Ave. (V)","Differential 7 - 8 Last (V)","Differential 7 - 8 Ave. (V)"
"00:00:00","0,001697","0,001697","0,007621","0,007621"
"00:00:01","0,001564","0,001564","0,006820","0,006820"
"00:00:02","0,001461","0,001461","0,006202","0,006202"
"00:00:03","0,001354","0,001354","0,005647","0,005647"
"00:00:04","0,001253","0,001253","0,005157","0,005157"
"00:00:05","0,001184","0,001184","0,004672","0,004672"
"00:00:06","0,001127","0,001127","0,004278","0,004278"
"00:00:07","0,001068","0,001068","0,003936","0,003936"
"00:00:08","0,001012","0,001012","0,003628","0,003628"
"00:00:09","0,000940","0,000940","0,003309","0,003309"
"00:00:10","0,000897","0,000897","0,003061","0,003061"
"00:00:11","0,000851","0,000851","0,002828","0,002828"
"00:00:12","0,000798","0,000798","0,002598","0,002598"
"00:00:13","0,000772","0,000772","0,002413","0,002413"
"00:00:14","0,000730","0,000730","0,002239","0,002239"
"00:00:15","0,000700","0,000700","0,002088","0,002088"
"00:00:16","0,000670","0,000670","0,001930","0,001930"
"00:00:17","0,000635","0,000635","0,001798","0,001798"
"00:00:18","0,000618","0,000618","0,001683","0,001683"
"00:00:19","0,000588","0,000588","0,001569","0,001569"
"00:00:20","0,000558","0,000558","0,001458","0,001458"
"00:00:21","0,000541","0,000541","0,001362","0,001362"
"00:00:22","0,000511","0,000511","0,001271","0,001271"
"00:00:23","0,000499","0,000499","0,001197","0,001197"
"00:00:24","0,000481","0,000481","0,001114","0,001114"
"00:00:25","0,000459","0,000459","0,001045","0,001045"
"00:00:26","0,000452","0,000452","0,000983","0,000983"
"00:00:27","0,000436","0,000436","0,000921","0,000921"
"00:00:28","0,000415","0,000415","0,000861","0,000861"
"00:00:29","0,000400","0,000400","0,000808","0,000808"
"00:00:30","0,000378","0,000378","0,000754","0,000754"
"00:00:31","0,000371","0,000371","0,000704","0,000704"
"00:00:32","0,000363","0,000363","0,000656","0,000656"
"00:00:33","0,000357","0,000357","0,000620","0,000620"
"00:00:34","0,000354","0,000354","0,000588","0,000588"
"00:00:35","0,000336","0,000336","0,000551","0,000551"
"00:00:36","0,000331","0,000331","0,000524","0,000524"
"00:00:37","0,000322","0,000322","0,000487","0,000487"
"00:00:38","0,000299","0,000299","0,000457","0,000457"
"00:00:39","0,000308","0,000308","0,000438","0,000438"
"00:00:40","0,000292","0,000292","0,000408","0,000408"
"00:00:41","0,000289","0,000289","0,000382","0,000382"
"00:00:42","0,000285","0,000285","0,000362","0,000362"
"00:00:43","0,000276","0,000276","0,000336","0,000336"
"00:00:44","0,000281","0,000281","0,000322","0,000322"
"00:00:45","0,000275","0,000275","0,000297","0,000297"
"00:00:46","0,000265","0,000265","0,000280","0,000280"
"00:00:47","0,000261","0,000261","0,000265","0,000265"
"00:00:48","0,000250","0,000250","0,000247","0,000247"
"00:00:49","0,000247","0,000247","0,000227","0,000227"
"00:00:50","0,000239","0,000239","0,000206","0,000206"
"00:00:51","0,000231","0,000231","0,000191","0,000191"
"00:00:52","0,000227","0,000227","0,000172","0,000172"
"00:00:53","0,000216","0,000216","0,000161","0,000161"
"00:00:54","0,000211","0,000211","0,000153","0,000153"
"00:00:55","0,000204","0,000204","0,000142","0,000142"
"00:00:56","0,000196","0,000196","0,000129","0,000129"
"00:00:57","0,000195","0,000195","0,000119","0,000119"
"00:00:58","0,000190","0,000190","0,000106","0,000106"
"00:00:59","0,000184","0,000184","0,000100","0,000100"
"00:01:00","0,000191","0,000191","0,000095","0,000095"
"00:01:01","0,000182","0,000182","0,000079","0,000079"
"00:01:02","0,000184","0,000184","0,000071","0,000071"
"00:01:03","0,000187","0,000187","0,000061","0,000061"
"00:01:04","0,000178","0,000178","0,000048","0,000048"
"00:01:05","0,000184","0,000184","0,000046","0,000046"
"00:01:06","0,000178","0,000178","0,000037","0,000037"
"00:01:07","0,000177","0,000177","0,000032","0,000032"
"00:01:08","0,000182","0,000182","0,000030","0,000030"
"00:01:09","0,000178","0,000178","0,000019","0,000019"
"00:01:10","0,000185","0,000185","0,000015","0,000015"
"00:01:11","0,000184","0,000184","0,000009","0,000009"
"00:01:12","0,000176","0,000176","-0,000000","-0,000000"
"00:01:13","0,000181","0,000181","-0,000003","-0,000003"
"00:01:14","0,000176","0,000176","-0,000015","-0,000015"
"00:01:15","0,000178","0,000178","-0,000020","-0,000020"
"00:01:16","0,000185","0,000185","-0,000027","-0,000027"
"00:01:17","0,000179","0,000179","-0,000038","-0,000038"
"00:01:18","0,000183","0,000183","-0,000041","-0,000041"
"00:01:19","0,000182","0,000182","-0,000047","-0,000047"
