"","Differential 5 - 6 Last (µV)","Differential 5 - 6 Ave. (µV)","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)"
"00:00:00","1920,477953","1920,477953","482,607633","482,607633"
"00:00:01","1912,751002","1912,751002","479,383103","479,383103"
"00:00:02","1896,992326","1896,992326","480,923947","480,923947"
"00:00:03","1891,924068","1891,924068","475,874316","475,874316"
"00:00:04","1887,324150","1887,324150","479,221693","479,221693"
"00:00:05","1877,577510","1877,577510","479,616894","479,616894"
"00:00:06","1873,408561","1873,408561","477,431779","477,431779"
"00:00:07","1864,608261","1864,608261","476,370449","476,370449"
"00:00:08","1852,915622","1852,915622","472,461834","472,461834"
"00:00:09","1845,216029","1845,216029","471,359963","471,359963"
"00:00:10","1818,936318","1818,936318","482,367846","482,367846"
"00:00:11","1809,291891","1809,291891","468,250335","468,250335"
"00:00:12","1802,101615","1802,101615","471,024570","471,024570"
"00:00:13","1786,263310","1786,263310","475,158333","475,158333"
"00:00:14","1779,644168","1779,644168","459,202420","459,202420"
"00:00:15","1770,078205","1770,078205","471,391861","471,391861"
"00:00:16","1762,945089","1762,945089","472,494372","472,494372"
"00:00:17","1757,140271","1757,140271","462,782918","462,782918"
"00:00:18","1747,405622","1747,405622","467,047532","467,047532"
"00:00:19","1744,503854","1744,503854","456,594891","456,594891"
"00:00:20","1736,120787","1736,120787","459,139963","459,139963"
"00:00:21","1726,172166","1726,172166","459,290750","459,290750"
"00:00:22","1719,102147","1719,102147","454,689405","454,689405"
"00:00:23","1707,683783","1707,683783","461,024872","461,024872"
"00:00:24","1705,592382","1705,592382","454,543275","454,543275"
"00:00:25","1697,355299","1697,355299","450,846535","450,846535"
"00:00:26","1688,816119","1688,816119","455,977221","455,977221"
"00:00:27","1685,103518","1685,103518","447,056140","447,056140"
"00:00:28","1676,367014","1676,367014","453,328510","453,328510"
"00:00:29","1672,711456","1672,711456","454,130844","454,130844"
"00:00:30","1667,839126","1667,839126","449,344196","449,344196"
"00:00:31","1660,974347","1660,974347","455,629866","455,629866"
"00:00:32","1659,014379","1659,014379","447,242783","447,242783"
"00:00:33","1651,444822","1651,444822","451,498083","451,498083"
"00:00:34","1647,154335","1647,154335","444,129168","444,129168"
"00:00:35","1645,749668","1645,749668","444,471196","444,471196"
"00:00:36","1641,575363","1641,575363","450,513122","450,513122"
"00:00:37","1634,934335","1634,934335","444,834499","444,834499"
"00:00:38","1628,547092","1628,547092","451,354630","451,354630"
"00:00:39","1621,879521","1621,879521","447,154423","447,154423"
"00:00:40","1616,396126","1616,396126","444,238744","444,238744"
"00:00:41","1614,058972","1614,058972","449,178158","449,178158"
"00:00:42","1609,231811","1609,231811","444,095291","444,095291"
"00:00:43","1600,647462","1600,647462","447,791361","447,791361"
"00:00:44","1601,006836","1601,006836","445,895828","445,895828"
"00:00:45","1604,428515","1604,428515","448,676030","448,676030"
"00:00:46","1602,200326","1602,200326","450,442050","450,442050"
"00:00:47","1598,197967","1598,197967","445,450190","445,450190"
"00:00:48","1590,683591","1590,683591","449,991086","449,991086"
"00:00:49","1591,312001","1591,312001","447,125873","447,125873"
"00:00:50","1584,981801","1584,981801","445,605605","445,605605"
"00:00:51","1578,871510","1578,871510","447,315164","447,315164"
"00:00:52","1579,979900","1579,979900","441,513024","441,513024"
"00:00:53","1573,833753","1573,833753","444,938778","444,938778"
"00:00:54","1571,740257","1571,740257","441,066688","441,066688"
"00:00:55","1566,415653","1566,415653","439,525815","439,525815"
"00:00:56","1561,883371","1561,883371","441,942073","441,942073"
"00:00:57","1560,128061","1560,128061","435,470429","435,470429"
"00:00:58","1556,714880","1556,714880","440,527394","440,527394"
"00:00:59","1553,357462","1553,357462","436,560978","436,560978"
"00:01:00","1550,285728","1550,285728","437,717303","437,717303"
"00:01:01","1547,987107","1547,987107","442,100805","442,100805"
"00:01:02","1546,703279","1546,703279","437,456270","437,456270"
"00:01:03","1537,921606","1537,921606","447,252067","447,252067"
"00:01:04","1533,134957","1533,134957","444,216828","444,216828"
"00:01:05","1525,382162","1525,382162","436,954171","436,954171"
"00:01:06","1521,819620","1521,819620","439,803436","439,803436"
"00:01:07","1528,254012","1528,254012","437,866751","437,866751"
"00:01:08","1528,678462","1528,678462","441,052747","441,052747"
"00:01:09","1532,150083","1532,150083","439,695839","439,695839"
"00:01:10","1528,309775","1528,309775","438,444549","438,444549"
"00:01:11","1526,818727","1526,818727","442,898454","442,898454"
"00:01:12","1528,248773","1528,248773","439,074181","439,074181"
"00:01:13","1526,159933","1526,159933","444,170350","444,170350"
"00:01:14","1527,170069","1527,170069","442,083518","442,083518"
"00:01:15","1528,500463","1528,500463","444,517704","444,517704"
"00:01:16","1527,443063","1527,443063","446,230581","446,230581"
"00:01:17","1525,867032","1525,867032","439,938944","439,938944"
"00:01:18","1522,174221","1522,174221","444,615987","444,615987"
"00:01:19","1524,097635","1524,097635","441,912183","441,912183"
"00:01:20","1525,222091","1525,222091","442,780904","442,780904"
"00:01:21","1522,997161","1522,997161","444,574165","444,574165"
"00:01:22","1525,107888","1525,107888","440,673495","440,673495"
"00:01:23","1520,715770","1520,715770","445,284153","445,284153"
"00:01:24","1523,311948","1523,311948","444,051460","444,051460"
"00:01:25","1520,837308","1520,837308","441,495737","441,495737"
"00:01:26","1512,404997","1512,404997","438,520277","438,520277"
"00:01:27","1512,180548","1512,180548","434,897927","434,897927"
"00:01:28","1508,058049","1508,058049","436,247501","436,247501"
"00:01:29","1502,258587","1502,258587","433,606125","433,606125"
"00:01:30","1804,820728","1804,820728","-407,826505","-407,826505"
"00:01:31","1531,880349","1531,880349","-43,213298","-43,213298"
"00:01:32","3363,379277","3363,379277","3032,976761","3032,976761"
"00:01:33","5276,096985","5276,096985","2656,305442","2656,305442"
"00:01:34","5803,337321","5803,337321","3461,817279","3461,817279"
"00:01:35","4959,175829","4959,175829","2860,035747","2860,035747"
"00:01:36","4296,367988","4296,367988","2231,950639","2231,950639"
"00:01:37","3675,395157","3675,395157","1679,681940","1679,681940"
"00:01:38","3233,063268","3233,063268","1387,523254","1387,523254"
"00:01:39","2803,145209","2803,145209","1104,814350","1104,814350"
"00:01:40","2446,695929","2446,695929","916,590972","916,590972"
"00:01:41","2205,415862","2205,415862","774,195767","774,195767"
"00:01:42","2019,364387","2019,364387","646,967441","646,967441"
"00:01:43","1814,833726","1814,833726","515,107939","515,107939"
"00:01:44","1640,269649","1640,269649","415,650371","415,650371"
"00:01:45","1553,945942","1553,945942","340,045721","340,045721"
"00:01:46","1472,907141","1472,907141","283,822068","283,822068"
"00:01:47","1394,663705","1394,663705","209,866514","209,866514"
"00:01:48","1313,112094","1313,112094","147,175204","147,175204"
"00:01:49","1263,468293","1263,468293","122,656187","122,656187"
"00:01:50","1252,548769","1252,548769","117,017422","117,017422"
"00:01:51","1246,930566","1246,930566","131,301640","131,301640"
