"","Single-ended 7 Last (µV)","Single-ended 8 Last (µV)"
"00:00:00","781,376322","-11212,829500"
"00:00:01","764,776021","-11202,160269"
"00:00:02","756,520079","-11194,161139"
"00:00:03","751,139130","-11179,208755"
"00:00:04","746,565289","-11161,978357"
"00:00:05","746,797712","-11146,054603"
"00:00:06","735,088368","-11131,450534"
"00:00:07","736,411486","-11116,294190"
"00:00:08","724,324607","-11104,659177"
"00:00:09","710,668159","-11098,836549"
"00:00:10","695,986091","-11095,004156"
"00:00:11","675,992866","-11089,500971"
"00:00:12","655,677868","-11091,197841"
"00:00:13","634,544645","-11086,735874"
"00:00:14","613,794487","-11086,320505"
"00:00:15","598,417828","-11083,031073"
"00:00:16","577,647239","-11079,363525"
"00:00:17","563,696958","-11076,688766"
"00:00:18","546,088733","-11067,760177"
"00:00:19","526,367920","-11060,226709"
"00:00:20","513,216364","-11053,266004"
"00:00:21","492,950669","-11046,422645"
"00:00:22","481,417956","-11040,775105"
"00:00:23","466,190104","-11028,658599"
"00:00:24","451,786065","-11020,597070"
"00:00:25","441,146927","-11012,929492"
"00:00:26","427,050662","-11010,738090"
"00:00:27","417,014991","-11027,643457"
"00:00:28","409,821805","-11028,607376"
"00:00:29","400,855410","-11033,329181"
"00:00:30","396,234158","-11031,950824"
"00:00:31","385,313266","-11030,301452"
"00:00:32","380,209414","-11033,346877"
"00:00:33","371,189119","-11028,470472"
"00:00:34","363,784871","-11029,087007"
"00:00:35","356,399192","-11032,051407"
"00:00:36","347,921916","-11028,528214"
"00:00:37","342,607003","-11025,273241"
"00:00:38","333,113421","-11017,578654"
"00:00:39","329,122558","-11012,510397"
"00:00:40","321,598374","-11003,020220"
"00:00:41","316,284364","-10999,402963"
"00:00:42","309,750438","-10991,680436"
"00:00:43","301,139255","-10984,744877"
"00:00:44","296,153506","-10977,933183"
"00:00:45","286,449766","-10969,908908"
"00:00:46","280,748034","-10965,087451"
"00:00:47","273,645041","-10957,786813"
"00:00:48","267,109252","-10951,468721"
"00:00:49","261,393579","-10940,748267"
"00:00:50","252,695929","-10935,515165"
"00:00:51","258,722168","-10925,828479"
"00:00:52","273,064827","-10947,166011"
"00:00:53","264,342991","-10941,268876"
"00:00:54","254,385435","-10931,299068"
"00:00:55","247,006275","-10925,874114"
"00:00:56","238,977169","-10918,774642"
"00:00:57","228,902441","-10910,309851"
"00:00:58","225,220298","-10912,120342"
"00:00:59","216,477085","-10903,546587"
"00:01:00","211,484818","-10897,051543"
"00:01:01","203,944801","-10884,715244"
"00:01:02","196,599125","-10879,695415"
"00:01:03","193,422820","-10874,368250"
"00:01:04","185,064549","-10866,391473"
"00:01:05","180,233139","-10861,061513"
"00:01:06","175,376626","-10848,569684"
"00:01:07","169,240666","-10838,678107"
"00:01:08","165,764955","-10820,764117"
"00:01:09","148,645806","-10819,990188"
"00:01:10","139,040640","-10813,274421"
"00:01:11","125,762628","-10801,304132"
"00:01:12","121,850826","-10784,282349"
"00:01:13","110,399007","-10766,404681"
"00:01:14","123,559861","-10740,346275"
"00:01:15","93,540213","-10744,431987"
"00:01:16","72,195915","-10744,058527"
"00:01:17","58,306076","-10732,714087"
"00:01:18","35,103963","-10718,733072"
"00:01:19","20,401454","-10706,799105"
"00:01:20","10,361123","-10689,429939"
"00:01:21","3,962946","-10677,292943"
"00:01:22","-0,470495","-10665,130801"
"00:01:23","-12,920022","-10651,683435"
"00:01:24","-23,540568","-10639,600456"
"00:01:25","-35,262965","-10623,951443"
"00:01:26","-43,183278","-10611,711070"
"00:01:27","-54,321743","-10600,345209"
"00:01:28","-63,914820","-10586,432181"
"00:01:29","-890,604686","-10412,392206"
"00:01:30","-2493,204316","-10232,347064"
"00:01:31","-2213,829663","-10158,174671"
"00:01:32","-2060,354454","-10113,632306"
"00:01:33","-1933,528925","-10086,448863"
"00:01:34","-1827,990171","-10070,671327"
"00:01:35","-1700,511086","-10057,902895"
"00:01:36","-1580,836950","-10053,543374"
"00:01:37","-1467,676368","-10052,945465"
"00:01:38","-1340,357237","-10090,128519"
"00:01:39","-1232,298557","-10240,437463"
"00:01:40","-1039,828872","-9895,378724"
"00:01:41","-916,958903","-9767,714888"
"00:01:42","-812,434591","-9653,091431"
"00:01:43","-745,005964","-9627,747349"
"00:01:44","-691,655849","-9618,598968"
"00:01:45","-655,321754","-9613,644332"
"00:01:46","-646,398112","-9380,015545"
"00:01:47","-633,914198","-9403,303266"
"00:01:48","-619,487837","-9459,083900"
"00:01:49","-613,799144","-9584,391490"
"00:01:50","-605,503155","-9691,479616"
"00:01:51","-590,078183","-9758,966044"
"00:01:52","-580,125256","-9806,329384"
"00:01:53","-573,219382","-9845,078923"
"00:01:54","-562,646252","-9875,213727"
"00:01:55","-551,267003","-9898,295626"
"00:01:56","-540,302368","-9918,506257"
"00:01:57","-530,579127","-9938,643314"
"00:01:58","-515,686930","-9946,014732"
"00:01:59","-508,668541","-9953,442030"
"00:02:00","-497,251167","-9964,915924"
"00:02:01","-490,079343","-9971,381165"
"00:02:02","-479,920942","-9977,237321"
"00:02:03","-472,512969","-9979,641996"
"00:02:04","-465,555961","-9981,907904"
"00:02:05","-454,678782","-9982,576594"
"00:02:06","-450,158870","-9980,021045"
"00:02:07","-440,616917","-9979,123250"
"00:02:08","-434,661342","-9974,368848"
"00:02:09","-426,881423","-9975,138120"
"00:02:10","-419,644552","-9972,458705"
"00:02:11","-415,789458","-9969,226085"
"00:02:12","-408,564665","-9968,889877"
"00:02:13","-406,463252","-9965,174831"
"00:02:14","-401,618803","-9963,529184"
"00:02:15","-399,181736","-9956,442751"
"00:02:16","-396,217423","-9951,896966"
"00:02:17","-392,865360","-9946,373291"
"00:02:18","-394,542789","-9941,247292"
"00:02:19","-397,133292","-9943,395853"
"00:02:20","-392,485992","-9933,849797"
