"","Single-ended 7 Last (mV)","Single-ended 8 Last (mV)"
"00:00:00","126,428917","66,922069"
"00:00:01","126,492977","66,686019"
"00:00:02","127,023578","66,686019"
"00:00:03","127,152801","66,251166"
"00:00:04","126,975670","65,504409"
"00:00:05","126,677632","64,562477"
"00:00:06","126,369834","63,661098"
"00:00:07","126,199916","62,879533"
"00:00:08","126,021653","62,260158"
"00:00:09","125,811234","61,466485"
"00:00:10","125,706747","60,875542"
"00:00:11","125,666931","60,253706"
"00:00:12","125,381961","59,360381"
"00:00:13","125,166312","58,650982"
"00:00:14","125,082925","58,054831"
"00:00:15","125,067264","57,478365"
"00:00:16","124,987990","56,767698"
"00:00:17","124,952011","56,167785"
"00:00:18","124,937914","55,601332"
"00:00:19","124,919742","55,046000"
"00:00:20","124,880835","54,341812"
"00:00:21","124,864444","53,799860"
"00:00:22","124,839917","53,289648"
"00:00:23","124,829806","52,798852"
"00:00:24","124,826737","52,238207"
"00:00:25","124,760404","51,593933"
"00:00:26","124,714576","51,068310"
"00:00:27","124,665298","50,770011"
"00:00:28","124,704026","50,325245"
"00:00:29","124,750599","49,996383"
"00:00:30","124,839455","49,793828"
"00:00:31","124,951653","49,496844"
"00:00:32","124,993108","49,017876"
"00:00:33","124,976702","48,579816"
"00:00:34","124,904849","48,022728"
"00:00:35","124,916948","47,483426"
"00:00:36","124,930650","47,020227"
"00:00:37","124,920577","46,477854"
"00:00:38","124,930590","46,068322"
"00:00:39","124,914467","45,452494"
"00:00:40","124,903701","45,057140"
"00:00:41","124,883741","44,535775"
"00:00:42","124,855012","44,167563"
"00:00:43","124,847107","43,767162"
"00:00:44","124,825388","43,169640"
"00:00:45","124,880463","42,682812"
"00:00:46","124,956414","42,231951"
"00:00:47","124,974541","41,832596"
"00:00:48","125,004888","41,258778"
"00:00:49","125,069991","40,639266"
"00:00:50","125,086799","40,088870"
"00:00:51","125,075862","39,585214"
"00:00:52","125,102863","39,073732"
"00:00:53","125,121653","38,656268"
"00:00:54","125,179693","38,443588"
"00:00:55","125,232816","38,190410"
"00:00:56","125,236586","37,707124"
"00:00:57","125,194177","37,272707"
"00:00:58","125,130519","36,648009"
"00:00:59","125,053182","36,165707"
"00:01:00","124,987967","35,852022"
"00:01:01","124,863535","35,307296"
"00:01:02","124,854699","34,870427"
"00:01:03","124,872237","34,353849"
"00:01:04","124,854788","33,898812"
"00:01:05","124,830797","33,444617"
"00:01:06","124,731801","33,031359"
"00:01:07","124,825649","32,519318"
"00:01:08","124,865428","32,008298"
"00:01:09","124,896608","31,685323"
"00:01:10","124,865666","31,581357"
"00:01:11","124,863900","31,441797"
"00:01:12","124,896996","31,146951"
"00:01:13","124,934725","30,915665"
"00:01:14","124,954954","30,505735"
"00:01:15","124,993183","30,050537"
"00:01:16","124,991983","29,788254"
"00:01:17","124,970399","29,710744"
"00:01:18","124,994345","29,291600"
"00:01:19","125,013456","28,756427"
"00:01:20","125,000775","28,334932"
"00:01:21","125,032023","27,990563"
"00:01:22","125,078961","27,407480"
"00:01:23","125,122353","26,670944"
"00:01:24","125,208586","25,529714"
"00:01:25","125,287428","24,551306"
"00:01:26","125,362724","23,818675"
"00:01:27","125,429079","22,818588"
"00:01:28","125,478894","21,931322"
"00:01:29","125,466943","21,304695"
"00:01:30","125,516206","20,589216"
"00:01:31","125,588492","19,777780"
"00:01:32","125,696242","19,129749"
"00:01:33","125,741720","18,432889"
"00:01:34","125,771403","17,753651"
"00:01:35","125,670642","16,950127"
"00:01:36","125,587121","15,964467"
"00:01:37","125,554487","15,309446"
"00:01:38","125,574842","14,817966"
"00:01:39","125,561550","14,307804"
"00:01:40","125,694007","13,834595"
"00:01:41","125,744358","13,254286"
"00:01:42","125,859126","12,820839"
"00:01:43","125,974774","12,296499"
"00:01:44","126,022562","11,999056"
"00:01:45","125,990495","11,727943"
"00:01:46","125,985920","11,229685"
"00:01:47","125,990286","10,668516"
"00:01:48","125,985175","10,137609"
"00:01:49","125,966623","9,522338"
"00:01:50","125,979766","9,073108"
"00:01:51","126,040950","8,730467"
"00:01:52","126,055807","8,239286"
"00:01:53","126,027748","7,616117"
"00:01:54","125,973031","7,025547"
"00:01:55","125,944123","6,558693"
"00:01:56","125,945017","5,958907"
"00:01:57","125,905216","5,768949"
"00:01:58","125,870794","5,750728"
"00:01:59","125,859797","5,169598"
"00:02:00","125,885263","4,428348"
"00:02:01","125,869572","3,919853"
"00:02:02","125,912160","3,304632"
"00:02:03","125,914231","2,764882"
"00:02:04","125,895932","2,138753"
"00:02:05","125,943169","1,720728"
"00:02:06","125,949264","1,178055"
"00:02:07","125,970751","0,674871"
"00:02:08","125,972971","0,317654"
"00:02:09","125,921145","-0,020435"
"00:02:10","125,906765","-0,388075"
"00:02:11","125,873253","-0,530882"
"00:02:12","125,851631","-1,076329"
"00:02:13","125,902280","-1,892975"
"00:02:14","125,944719","-2,318326"
"00:02:15","125,957161","-2,766586"
"00:02:16","125,932440","-3,146601"
