"","Single-ended 7 Last (µV)","Single-ended 8 Last (µV)"
"00:00:00","3808,744019","-7229,576819"
"00:00:01","3815,420670","-7222,695276"
"00:00:02","3796,023084","-7232,250646"
"00:00:03","3798,870137","-7238,605525"
"00:00:04","3783,061402","-7257,318124"
"00:00:05","3793,840297","-7254,638709"
"00:00:06","3806,051333","-7256,983779"
"00:00:07","3799,910657","-7264,055777"
"00:00:08","3798,550693","-7271,175273"
"00:00:09","3796,908772","-7278,359029"
"00:00:10","3801,782615","-7319,143042"
"00:00:11","3815,364558","-7345,635910"
"00:00:12","3824,582323","-7353,804074"
"00:00:13","3830,868751","-7364,515681"
"00:00:14","3834,202886","-7355,938666"
"00:00:15","3830,982605","-7357,198745"
"00:00:16","3832,895774","-7363,238838"
"00:00:17","3826,647298","-7366,531063"
"00:00:18","3820,473095","-7419,831119"
"00:00:19","3845,535219","-7400,297094"
"00:00:20","3842,994338","-7416,944951"
"00:00:21","3848,436987","-7418,171037"
"00:00:22","3843,344748","-7404,169999"
"00:00:23","3840,751247","-7384,842727"
"00:00:24","3829,912515","-7358,415984"
"00:00:25","3809,477901","-7360,891439"
"00:00:26","3820,211161","-7319,108583"
"00:00:27","3804,434324","-7301,024161"
"00:00:28","3755,892394","-7294,131909"
"00:00:29","3731,807461","-7329,887711"
"00:00:30","3790,810006","-7234,856486"
"00:00:31","3772,431752","-7226,475049"
"00:00:32","3753,185738","-7208,873052"
"00:00:33","3742,112312","-7192,628458"
"00:00:34","3725,609975","-7169,244811"
"00:00:35","3710,824996","-7148,922887"
"00:00:36","3698,451212","-7129,152305"
"00:00:37","3683,542134","-7117,482368"
"00:00:38","3677,700413","-7113,625761"
"00:00:39","3664,160613","-7103,990298"
"00:00:40","3659,459529","-7104,666904"
"00:00:41","3654,127708","-7099,703420"
"00:00:42","3648,547223","-7098,946255"
"00:00:43","3649,143735","-7112,557534"
"00:00:44","3647,085046","-7141,294423"
"00:00:45","3655,670444","-7170,252036"
"00:00:46","3660,892136","-7190,791890"
"00:00:47","3671,197919","-7209,515665"
"00:00:48","3680,910682","-7224,773988"
"00:00:49","3685,666015","-7237,667684"
"00:00:50","3699,187422","-7239,915896"
"00:00:51","3683,326766","-7256,898563"
"00:00:52","3693,610663","-7259,047590"
"00:00:53","3681,065748","-7272,903807"
"00:00:54","3722,446272","-7243,786007"
"00:00:55","3717,054147","-7272,955962"
"00:00:56","3719,622735","-7299,546618"
"00:00:57","3733,021673","-7333,766669"
"00:00:58","3739,419626","-7369,603496"
"00:00:59","3754,672827","-7399,087772"
"00:01:00","3768,067807","-7420,304231"
"00:01:01","3779,000370","-7444,221526"
"00:01:02","3793,356009","-7462,421432"
"00:01:03","3798,858495","-7474,765182"
"00:01:04","3811,063245","-7502,221502"
"00:01:05","3824,344371","-7531,363051"
"00:01:06","3836,722812","-7559,413090"
"00:01:07","3852,494294","-7583,791856"
"00:01:08","3862,035926","-7604,171522"
"00:01:09","3880,825359","-7632,336114"
"00:01:10","3890,674794","-7646,786515"
"00:01:11","3901,714925","-7665,579673"
"00:01:12","3912,919201","-7681,457326"
"00:01:13","3921,019845","-7698,814385"
"00:01:14","3933,686297","-7713,708095"
"00:01:15","3938,886337","-7725,492120"
"00:01:16","3950,760700","-7738,938089"
"00:01:17","3955,787979","-7742,592599"
"00:01:18","3960,777074","-7750,965655"
"00:01:19","3967,159428","-7756,006904"
"00:01:20","3969,486337","-7763,048634"
"00:01:21","3977,325745","-7771,079428"
"00:01:22","3977,621906","-7772,006094"
"00:01:23","3983,253613","-7783,711422"
"00:01:24","3986,138385","-7790,187374"
"00:01:25","3990,550991","-7801,051717"
"00:01:26","3997,385502","-7813,194767"
"00:01:27","3999,679815","-7825,205103"
"00:01:28","4007,088952","-7807,260845"
"00:01:29","3994,852304","-7745,721377"
"00:01:30","3983,769566","-7721,179165"
"00:01:31","3974,067513","-7713,817991"
"00:01:32","3966,989927","-7723,863237"
"00:01:33","3967,224155","-7735,108025"
"00:01:34","3973,355517","-7735,088002"
"00:01:35","3982,433584","-7750,910707"
"00:01:36","3981,385846","-7756,343111"
"00:01:37","3985,198215","-7762,477733"
"00:01:38","3987,038508","-7758,412976"
"00:01:39","3982,953727","-7746,496238"
"00:01:40","3981,660586","-7733,743638"
"00:01:41","3971,820232","-7709,369529"
"00:01:42","3965,289798","-7692,552637"
"00:01:43","3955,125343","-7667,734753"
"00:01:44","3943,361342","-7647,247985"
"00:01:45","3935,758490","-7630,362641"
"00:01:46","3923,529759","-7630,256936"
