"","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)","Single-ended 8 Last (µV)","Single-ended 8 Ave. (µV)"
"00:00:00","424,617290","424,617290","-996,836228","-996,836228"
"00:00:01","379,122444","379,122444","-990,717905","-990,717905"
"00:00:02","430,646323","430,646323","-799,700560","-799,700560"
"00:00:03","246,941199","246,941199","-775,015331","-775,015331"
"00:00:04","144,019883","144,019883","-852,403464","-852,403464"
"00:00:05","31,755637","31,755637","-836,919877","-836,919877"
"00:00:06","132,661051","132,661051","-1849,838416","-1849,838416"
"00:00:07","111,107540","111,107540","-1197,884558","-1197,884558"
"00:00:08","-25,086880","-25,086880","-886,721711","-886,721711"
"00:00:09","16,071224","16,071224","-1192,368800","-1192,368800"
"00:00:10","-5,154991","-5,154991","-1151,627279","-1151,627279"
"00:00:11","-38,465310","-38,465310","-1052,395557","-1052,395557"
"00:00:12","-7,970524","-7,970524","-866,328599","-866,328599"
"00:00:13","42,586325","42,586325","-650,678179","-650,678179"
"00:00:14","-46,915626","-46,915626","-415,739254","-415,739254"
"00:00:15","-160,381227","-160,381227","-215,129752","-215,129752"
"00:00:16","-224,922755","-224,922755","9,331799","9,331799"
"00:00:17","-310,694217","-310,694217","147,653671","147,653671"
"00:00:18","-342,029583","-342,029583","344,636821","344,636821"
"00:00:19","-542,237365","-542,237365","-340,969564","-340,969564"
"00:00:20","-641,074846","-641,074846","-688,012806","-688,012806"
"00:00:21","-529,959856","-529,959856","-304,535002","-304,535002"
"00:00:22","-533,694052","-533,694052","-6,389809","-6,389809"
"00:00:23","-572,066405","-572,066405","-362,898718","-362,898718"
"00:00:24","-511,006161","-511,006161","-202,149298","-202,149298"
"00:00:25","-575,677899","-575,677899","-485,175406","-485,175406"
"00:00:26","-442,298973","-442,298973","-492,439256","-492,439256"
"00:00:27","-380,941201","-380,941201","-223,550320","-223,550320"
"00:00:28","-459,411618","-459,411618","-262,060261","-262,060261"
"00:00:29","-304,821384","-304,821384","-552,071258","-552,071258"
